# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = wells_dist100_model_model
# start_datetime = 2026-08-20 13:54:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/wells_dist100_model.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/wells_dist100_model/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/wells_dist100_model__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1
# Adaptation terminated
# Step size = 0.463436
# Diagonal elements of inverse mass matrix:
# 0.00353784, 0.0091822
-2039.3834,0.95018647,0.46343624,2,3,0,2039.5549,0.51289696,-0.52521217
-2038.7721,1,0.46343624,2,3,0,2039.3122,0.54804863,-0.51137653
-2039.8277,0.80950258,0.46343624,2,3,0,2040.0079,0.57548165,-0.47698387
-2039.3364,0.98767268,0.46343624,2,3,0,2040.1864,0.55180172,-0.62916005
-2039.3883,0.98149504,0.46343624,2,7,0,2040.2833,0.65729835,-0.60650883
-2039.4483,0.98791027,0.46343624,3,9,0,2040.2109,0.55572518,-0.64171194
-2038.4314,1,0.46343624,2,3,0,2039.2103,0.59950741,-0.5668141
-2039.4712,0.91838826,0.46343624,2,5,0,2040.6438,0.57919033,-0.49328189
-2039.4551,1,0.46343624,2,3,0,2039.738,0.52671726,-0.57880236
-2038.9631,0.99952547,0.46343624,3,11,0,2039.7483,0.65619022,-0.6260269
-2040.223,0.92099095,0.46343624,2,3,0,2040.517,0.6864897,-0.63088183
-2039.1904,0.99793815,0.46343624,2,7,0,2040.8811,0.56676085,-0.65043302
-2038.1921,0.93143298,0.46343624,2,7,0,2039.9499,0.62029701,-0.62218453
-2038.9899,0.87706442,0.46343624,2,3,0,2039.1341,0.63050646,-0.57797435
-2038.6358,1,0.46343624,1,1,0,2038.9889,0.61994092,-0.58043467
-2038.7552,0.97113939,0.46343624,1,1,0,2038.8546,0.62167359,-0.57619833
-2038.4405,0.88597338,0.46343624,2,7,0,2039.7412,0.59348293,-0.65239875
-2038.21,1,0.46343624,2,3,0,2038.3895,0.62079752,-0.61989818
-2039.074,0.76450865,0.46343624,1,3,0,2039.7001,0.58471978,-0.67489227
-2039.124,1,0.46343624,2,3,0,2039.3388,0.61109628,-0.54378629
-2038.3499,0.99850622,0.46343624,3,7,0,2039.3689,0.61114236,-0.66891533
-2038.717,0.93630015,0.46343624,3,7,0,2039.1987,0.66830106,-0.67954367
-2038.7629,0.99727996,0.46343624,3,7,0,2039.3324,0.67354492,-0.69635174
-2041.5273,0.88263027,0.46343624,3,7,0,2042.0996,0.76393803,-0.83521992
-2039.3226,0.85158902,0.46343624,3,7,0,2042.6669,0.67686173,-0.77358966
-2038.9114,1,0.46343624,2,3,0,2039.3028,0.68205523,-0.72145665
-2040.5869,0.95565626,0.46343624,3,11,0,2040.7837,0.48946421,-0.40931743
-2040.7607,0.91863608,0.46343624,2,3,0,2041.4382,0.4731475,-0.49022389
-2038.3656,0.99027545,0.46343624,2,7,0,2042.9593,0.61741385,-0.59598803
-2038.8172,0.86395732,0.46343624,2,3,0,2039.6342,0.63523688,-0.59463383
-2038.6777,0.9971121,0.46343624,3,7,0,2039.3526,0.66130586,-0.66076481
-2038.266,0.97510177,0.46343624,2,3,0,2038.8568,0.6318303,-0.67480978
-2038.3269,0.99222563,0.46343624,4,15,0,2038.4934,0.62530233,-0.68012495
-2038.263,0.99938681,0.46343624,3,9,0,2038.4331,0.57543524,-0.57239591
-2039.176,0.86660597,0.46343624,2,3,0,2039.4092,0.60126682,-0.5291232
-2038.1235,1,0.46343624,2,7,0,2039.2705,0.60070863,-0.61763438
-2038.2409,0.98554444,0.46343624,4,15,0,2038.337,0.63323755,-0.6686352
-2038.6549,0.91271124,0.46343624,2,7,0,2039.7875,0.54845384,-0.5248892
-2038.5719,0.98649531,0.46343624,3,11,0,2038.7862,0.64700732,-0.71428321
-2038.355,0.80830345,0.46343624,2,3,0,2040.0283,0.64676621,-0.6664083
-2038.355,0.75729822,0.46343624,1,3,0,2039.4667,0.64676621,-0.6664083
-2038.3111,0.96170203,0.46343624,3,7,0,2038.6407,0.63709059,-0.64091894
-2039.2393,0.81365006,0.46343624,2,3,0,2039.9867,0.65039355,-0.60037486
-2039.3681,0.80286992,0.46343624,2,3,0,2041.9854,0.55504183,-0.63691116
-2040.3493,0.98938066,0.46343624,3,11,0,2041.2095,0.73300521,-0.7688434
-2040.9111,0.80010264,0.46343624,4,15,0,2043.1901,0.70613088,-0.85179506
-2039.1168,0.94939404,0.46343624,3,7,0,2041.4549,0.6693585,-0.7597703
-2038.3468,0.94505411,0.46343624,4,15,0,2040.0027,0.60505238,-0.66117525
-2038.4794,0.96891756,0.46343624,1,1,0,2038.5061,0.60289584,-0.66878634
-2038.9499,0.82380147,0.46343624,2,5,0,2040.2798,0.68057945,-0.69464108
-2038.5597,0.99754884,0.46343624,2,3,0,2039.1086,0.62177294,-0.69615685
-2038.6679,0.83493589,0.46343624,2,3,0,2039.4237,0.65532245,-0.64546096
-2038.5054,0.99813937,0.46343624,2,3,0,2038.791,0.59546794,-0.66014629
-2038.1988,0.96595954,0.46343624,1,3,0,2038.7758,0.61987923,-0.62007483
-2038.1988,0.91766034,0.46343624,2,7,0,2040.089,0.61987923,-0.62007483
-2038.3887,0.99757135,0.46343624,2,7,0,2038.5981,0.6362579,-0.6927269
-2038.6921,0.87537448,0.46343624,1,3,0,2039.2268,0.65179398,-0.63500207
-2038.514,0.96845215,0.46343624,2,5,0,2039.1526,0.65967015,-0.68971145
-2038.7446,0.95577008,0.46343624,3,7,0,2039.0487,0.66265257,-0.73086722
-2038.4099,0.72193154,0.46343624,2,7,0,2041.7974,0.56836338,-0.54782344
-2038.3036,0.96480302,0.46343624,3,7,0,2039.6923,0.57162371,-0.59077129
-2038.3361,0.99849828,0.46343624,1,3,0,2038.4469,0.56630956,-0.56946554
-2038.4149,0.77605458,0.46343624,2,3,0,2040.1111,0.5659982,-0.54774104
-2041.185,0.49416778,0.46343624,2,3,0,2042.0646,0.54060659,-0.67182634
-2038.4334,0.99495111,0.46343624,2,7,0,2041.7524,0.65269211,-0.67098044
-2039.2604,0.90005406,0.46343624,2,7,0,2039.464,0.59977701,-0.70443158
-2039.0133,1,0.46343624,2,3,0,2039.3641,0.59981758,-0.69403152
-2039.9537,0.94724115,0.46343624,2,7,0,2040.3512,0.69706106,-0.66692001
-2043.1688,0.8161549,0.46343624,3,9,0,2043.977,0.48075876,-0.60570212
-2040.7151,1,0.46343624,1,1,0,2042.6947,0.50256017,-0.57945222
-2041.1786,0.99616363,0.46343624,2,3,0,2041.5214,0.55922132,-0.422426
-2041.6764,0.99528901,0.46343624,2,3,0,2042.1264,0.46508962,-0.51824866
-2039.9124,0.87887362,0.46343624,2,3,0,2042.8712,0.52402848,-0.43932678
-2039.8364,0.87710117,0.46343624,2,3,0,2041.3883,0.49537452,-0.49422823
-2039.3102,1,0.46343624,2,3,0,2039.9829,0.51388146,-0.51619868
-2038.3853,0.95112435,0.46343624,3,11,0,2040.2573,0.63183866,-0.61946629
-2038.8674,0.9583126,0.46343624,3,7,0,2039.3374,0.64757507,-0.73575682
-2038.4311,0.99178751,0.46343624,2,5,0,2039.8834,0.6184057,-0.68350595
-2038.1706,0.99637261,0.46343624,2,7,0,2039.3267,0.5969164,-0.62739669
-2038.1997,0.99965715,0.46343624,2,7,0,2038.2209,0.62617471,-0.63433831
-2042.3466,0.34125033,0.46343624,2,3,0,2043.9423,0.65664551,-0.51977075
-2039.8093,1,0.46343624,2,3,0,2042.143,0.59772855,-0.7214242
-2038.1855,0.97193696,0.46343624,2,7,0,2040.5218,0.58498106,-0.60168851
-2038.251,0.99971742,0.46343624,3,7,0,2038.2546,0.58371609,-0.57216296
-2038.5522,0.94063986,0.46343624,2,5,0,2038.7548,0.58156004,-0.64098081
-2038.6581,0.99193659,0.46343624,2,3,0,2038.7507,0.57636619,-0.63894789
-2039.3084,0.95745167,0.46343624,2,7,0,2040.044,0.69114516,-0.69273262
-2039.2416,1,0.46343624,3,7,0,2039.4113,0.69066327,-0.69787425
-2039.451,0.9979797,0.46343624,3,15,0,2039.7339,0.55155056,-0.47161216
-2038.3091,1,0.46343624,2,7,0,2039.5808,0.56908307,-0.57940619
-2038.191,0.98453197,0.46343624,4,15,0,2038.7107,0.61356338,-0.61011955
-2039.5349,0.75314545,0.46343624,1,3,0,2039.6551,0.63673609,-0.56506898
-2038.2571,1,0.46343624,2,7,0,2039.4935,0.61957423,-0.66771585
-2038.2562,0.9995036,0.46343624,2,3,0,2038.2852,0.63344699,-0.64137505
-2039.2703,0.92665072,0.46343624,2,7,0,2039.5801,0.64721344,-0.75602994
-2038.814,1,0.46343624,3,7,0,2039.2425,0.67723521,-0.71143064
-2038.2839,0.98128482,0.46343624,3,7,0,2038.9852,0.63919755,-0.65440505
-2039.4504,0.87332119,0.46343624,3,7,0,2040.0664,0.68300632,-0.65889746
-2039.0603,1,0.46343624,2,7,0,2039.5774,0.58264935,-0.6710494
-2040.0325,0.68420437,0.46343624,2,5,0,2043.0853,0.52474978,-0.60305724
-2039.9899,0.99830302,0.46343624,4,15,0,2040.9175,0.6792233,-0.80634776
-2039.5271,1,0.46343624,2,3,0,2040.1667,0.70169178,-0.71033664
-2038.6497,0.95939439,0.46343624,3,7,0,2040.0438,0.59727549,-0.67196289
-2038.6497,0.82388469,0.46343624,1,1,0,2039.3172,0.59727549,-0.67196289
-2038.12,0.99446481,0.46343624,2,7,0,2038.8862,0.6041779,-0.61751443
