# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:54:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep0/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.303934
# Diagonal elements of inverse mass matrix:
# 0.0146213, 0.151468, 0.279863, 1.81037
-267.31283,0.93561572,0.30393377,3,7,0,270.49152,5.0798149,1.2506176,0.43208671,0.4199855
-267.87241,0.96624239,0.30393377,4,15,0,268.80619,4.9651458,0.88881623,0.57168216,0.34937587
-269.14806,0.97432947,0.30393377,3,7,0,270.63195,4.9668976,0.78909451,0.62641668,0.32690946
-270.90861,0.87668794,0.30393377,2,3,0,272.13448,4.9378783,0.61447732,0.61014658,0.35351027
-268.28852,0.95057545,0.30393377,2,3,0,272.33735,5.0231943,0.87939239,0.60448891,0.37157221
-270.23466,0.98660389,0.30393377,2,7,0,270.99975,5.1152773,0.69879532,0.57598265,0.41915686
-270.28077,0.94845657,0.30393377,4,15,0,272.03203,5.0190249,0.9071683,0.68851011,0.30617766
-268.12704,0.99962125,0.30393377,3,7,0,270.78109,5.1481032,0.96046022,0.53978241,0.41566806
-268.55303,0.92095885,0.30393377,3,7,0,270.36795,5.1712591,0.87663118,0.60707926,0.36370635
-269.05263,0.99005367,0.30393377,3,7,0,269.60114,5.2079792,0.84434551,0.58350125,0.38966588
-268.72364,0.98328346,0.30393377,3,7,0,270.08992,5.1721326,0.68023377,0.53489263,0.41503224
-268.59705,0.9509229,0.30393377,3,7,0,269.53513,5.155662,0.74781906,0.5090543,0.45332863
