# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:54:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep0/chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.307964
# Diagonal elements of inverse mass matrix:
# 0.0144316, 0.163012, 0.329555, 1.87612
-267.49453,0.97002131,0.30796447,4,15,0,270.15004,5.0066086,1.8004656,0.44512261,0.24759154
-267.38689,0.99708548,0.30796447,4,15,0,267.9652,5.084561,1.5598439,0.67415771,0.24301629
-266.88295,0.98325746,0.30796447,3,15,0,267.62038,5.0190389,1.3845802,0.60864884,0.26202617
-268.51756,0.98216045,0.30796447,3,11,0,268.97389,5.1343956,1.9844044,0.77786952,0.13600835
-268.79806,0.87647013,0.30796447,4,15,0,271.47734,4.8698768,0.92154489,0.43415984,0.39668301
-268.79806,0.092213109,0.30796447,2,3,0,274.36598,4.8698768,0.92154489,0.43415984,0.39668301
-268.10502,0.89775778,0.30796447,4,15,0,269.70301,4.9777508,0.93280409,0.50785393,0.44946262
-268.35945,0.99356775,0.30796447,3,15,0,269.21376,5.1071487,2.3890208,0.57948527,0.20233277
-267.98302,0.97931589,0.30796447,4,15,0,269.80352,4.9931721,1.030732,0.51923912,0.43315049
-267.84789,0.96083224,0.30796447,2,3,0,269.03549,4.9838076,0.86817778,0.55942533,0.39834467
-267.30719,0.9904953,0.30796447,3,11,0,269.96376,5.0355146,2.1001308,0.54964721,0.17967599
-268.77212,0.78963193,0.30796447,3,7,0,269.42188,4.948006,2.2596365,0.64583319,0.20799741
