# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:54:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep0/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.31938
# Diagonal elements of inverse mass matrix:
# 0.0172018, 0.146821, 0.294449, 1.31676
-268.69793,0.99014992,0.31937994,4,15,0,269.95228,5.2762644,1.5905506,0.54457818,0.23611059
-268.72064,0.96457833,0.31937994,2,3,0,269.26396,5.269365,1.6281073,0.52973567,0.2307049
-267.83266,0.97659734,0.31937994,4,15,0,269.18531,5.043743,1.1533135,0.40072491,0.36917285
-270.50075,0.9565061,0.31937994,3,11,0,271.32777,5.0437294,2.029967,0.86854896,0.10543321
-269.92504,0.99932381,0.31937994,3,7,0,271.44509,5.225198,1.7598116,0.84235593,0.11526287
-271.3125,0.88989612,0.31937994,3,11,0,272.89809,4.847003,1.2276841,0.28428646,0.41176228
-271.84594,0.49299913,0.31937994,3,15,0,276.88087,5.1437317,1.8994534,0.87473602,0.041060223
-273.48373,0.99316895,0.31937994,3,7,0,275.95582,4.9849765,2.6798628,0.90895751,0.023597316
-269.60037,0.97897603,0.31937994,3,15,0,274.47759,5.2622441,1.0470202,0.43220058,0.46582602
-267.95596,0.96187322,0.31937994,3,7,0,274.7943,5.072599,1.1673692,0.63940505,0.32824788
-267.22371,0.97403554,0.31937994,4,15,0,269.68586,5.0790109,1.7245306,0.44934413,0.30079749
-268.73256,0.66815936,0.31937994,4,15,0,273.10356,4.7998901,1.4985613,0.54445444,0.31906182
-269.15902,0.99529671,0.31937994,3,7,0,269.32108,4.7786273,1.4616265,0.53360558,0.344099
-269.90237,0.97879411,0.31937994,4,15,0,272.59009,4.8501324,1.8735793,0.71324597,0.22130074
-268.73308,1,0.31937994,3,7,0,270.51559,4.9266484,1.341033,0.70915224,0.24694558
-268.00496,0.98806256,0.31937994,4,15,0,270.92398,5.1318538,1.9487288,0.42700701,0.28767121
-267.73351,1,0.31937994,4,15,0,268.91938,5.0835665,0.80283866,0.48176276,0.45769899
-266.84313,0.96810946,0.31937994,4,15,0,268.69401,5.0280859,1.3202349,0.55044187,0.33764401
-266.89716,0.99473788,0.31937994,2,7,0,267.53269,4.9845702,1.1121145,0.47634016,0.3731391
-268.09235,0.96270401,0.31937994,3,15,0,268.44681,5.1640735,1.4230402,0.39680003,0.36268732
-267.64025,0.97547323,0.31937994,3,7,0,268.5882,5.0939151,1.3445032,0.38243392,0.39565195
-270.24306,0.37218021,0.31937994,2,3,0,271.66508,5.1686498,1.5007509,0.36978148,0.47403336
-267.97127,0.78059406,0.31937994,2,3,0,271.86843,5.1417591,1.163672,0.42759878,0.3539387
-268.0899,0.99931632,0.31937994,3,11,0,269.10025,5.0244557,1.6805944,0.74969565,0.15503092
-268.42357,0.97085484,0.31937994,3,15,0,269.43125,4.9250038,1.5179325,0.70555033,0.2285961
-267.52562,0.99472361,0.31937994,3,15,0,270.03515,4.9252604,1.5914835,0.40983215,0.33973574
-268.07052,0.75815679,0.31937994,3,7,0,269.26043,5.0451191,1.2435474,0.4254989,0.3186278
-268.26007,1,0.31937994,4,15,0,269.33093,5.1600276,1.8985692,0.71720091,0.1932812
-268.46658,0.98278382,0.31937994,3,15,0,269.72464,5.125251,1.8866347,0.45614335,0.34112035
-270.45476,0.96997048,0.31937994,3,15,0,273.03275,5.1046906,2.0925277,0.87750636,0.077512852
-270.4303,0.90058211,0.31937994,4,15,0,273.20917,5.0353067,1.1912377,0.2894385,0.4162885
-271.74677,0.49888371,0.31937994,1,1,0,272.8,5.0261283,1.1696477,0.27425927,0.41064346
-267.95284,1,0.31937994,3,7,0,272.09596,4.9348753,0.84736959,0.45924812,0.40941026
-266.80519,0.99990241,0.31937994,2,7,0,268.47528,5.0049914,1.1451707,0.49423806,0.38335334
-267.84715,0.93926909,0.31937994,3,15,0,268.28288,4.9108309,1.5520227,0.59149222,0.21848867
-268.0061,0.77620485,0.31937994,3,15,0,270.61534,5.0235044,1.4617431,0.47239529,0.40730411
-267.18895,0.99088326,0.31937994,3,11,0,269.41438,5.0117854,1.3944884,0.64109352,0.23139929
