# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = logmesquite_logvash_model
# start_datetime = 2026-08-20 13:54:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/logmesquite_logvash.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/logmesquite_logvash/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/logmesquite_logvash__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma
# Adaptation terminated
# Step size = 0.0761081
# Diagonal elements of inverse mass matrix:
# 0.0339629, 0.0946378, 0.110757, 0.0524243, 0.105087, 0.0171672, 0.011976
25.16982,0.69412151,0.076108144,5,31,0,-21.860698,5.2265858,0.30670373,0.68779354,-0.045231862,0.25190996,-0.694688,0.31631309
27.187349,0.89749544,0.076108144,6,63,0,-23.265391,5.4805757,0.53333964,0.28669181,-0.6423652,0.12130271,-0.4666885,0.35787841
23.873981,0.87401075,0.076108144,5,31,0,-21.516618,5.3986664,0.73973772,0.032054507,-0.33591962,0.29554396,-0.7663862,0.26814443
28.86202,0.77067668,0.076108144,5,31,0,-20.932546,5.4142401,0.75839293,0.077184092,-0.26138335,0.064108129,-0.62474791,0.3105231
28.670755,0.83014782,0.076108144,5,31,0,-27.031821,5.3539214,0.62337894,0.17901184,-0.30832318,0.39933917,-0.57568008,0.32977294
28.189385,0.96479754,0.076108144,5,31,0,-26.728856,5.4452595,0.63587634,0.20976431,-0.26395716,0.058199894,-0.69331082,0.31596659
27.941083,0.94982076,0.076108144,6,63,0,-26.481491,5.2951337,-0.019716436,0.74719157,-0.36073452,0.85963151,-0.58688005,0.31491947
28.37704,0.9028318,0.076108144,6,63,0,-24.684973,5.4030259,0.49957686,0.27876744,-0.28518694,0.18143567,-0.48117373,0.28549628
27.503011,0.86145596,0.076108144,5,63,0,-24.30905,5.2631356,0.007608846,0.71436511,-0.36613146,0.97606342,-0.59718602,0.36198257
