# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = eight_schools_centered_model
# start_datetime = 2026-08-20 13:56:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/eight_schools_centered.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/eight_schools_centered/rep2/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/eight_schools_centered__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,mu,tau
# Adaptation terminated
# Step size = 0.108918
# Diagonal elements of inverse mass matrix:
# 25.4396, 19.9503, 23.646, 24.034, 21.2628, 29.5761, 27.4504, 29.7187, 9.85976, 0.608129
-8.4378177,0.47386487,0.10891834,3,15,0,10.679524,6.62367,6.0234805,5.7209578,7.9390829,8.7840991,6.750235,7.4144536,8.0071631,7.6386837,1.3010344
-12.382357,0.91617661,0.10891834,3,7,0,14.484019,6.0856757,6.0878726,5.8780491,9.9416404,8.477223,6.1180423,6.9291546,9.0796697,7.1844001,1.0333449
-7.2401741,0.79936908,0.10891834,3,7,0,15.537386,7.2318578,7.1080016,7.4843445,8.5187177,8.4155055,6.5504012,7.0264488,8.7374979,7.041475,1.0824105
-7.0844587,0.90996051,0.10891834,5,39,0,11.447541,2.764169,4.0303001,2.3158891,2.0416128,3.0611585,3.3827624,3.7747935,1.6215827,2.5188434,0.66335079
-5.038181,0.8123306,0.10891834,2,3,0,8.945569,3.6009158,3.2111035,3.7825745,3.6670505,2.5955102,2.8814873,2.8212335,4.299112,2.8398942,0.8098388
-6.4684148,0.76563302,0.10891834,2,3,0,12.68127,2.6802488,3.5313981,3.802747,4.1910244,1.5123331,4.2008373,3.3622568,4.0890084,3.4776391,0.75738825
-9.2684613,0.96161359,0.10891834,3,7,0,10.906136,3.6584591,3.0141791,2.9640387,1.6506865,5.827636,2.0342924,3.2197631,1.5282521,2.8597195,1.489408
