# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:55:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep1/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.322766
# Diagonal elements of inverse mass matrix:
# 0.0155126, 0.149298, 0.217739, 1.7561
-272.75762,0.9792217,0.3227663,3,15,0,274.37173,5.2790317,1.9127759,0.90956208,0.079268422
-273.26787,0.91492394,0.3227663,4,15,0,274.39319,4.9366927,1.3648453,0.18992325,0.49902766
-270.56089,1,0.3227663,4,15,0,275.2698,4.7394489,0.85086306,0.48727433,0.43993715
-266.82345,1,0.3227663,3,7,0,270.95077,5.0314343,1.1784952,0.56707287,0.33199382
-268.09273,0.96716608,0.3227663,4,15,0,269.73012,4.987096,1.4748267,0.72737991,0.20948168
-267.38536,0.99804306,0.3227663,4,15,0,268.47886,5.1069768,1.6739142,0.44913521,0.28070168
-268.27162,0.74787606,0.3227663,3,15,0,269.01755,5.1291051,1.5997504,0.57655316,0.16258726
-268.51921,0.95674916,0.3227663,2,7,0,269.29859,5.094147,1.5453926,0.5650389,0.16547135
-268.62297,1,0.3227663,3,11,0,269.37194,5.157125,1.6096462,0.64010218,0.29836608
-270.92378,0.85523214,0.3227663,2,3,0,271.55002,5.1490263,1.9913235,0.64827604,0.30135536
-269.86634,0.98167057,0.3227663,2,7,0,271.51583,5.1262621,1.7515672,0.65552028,0.30552171
-268.22927,0.94207667,0.3227663,4,15,0,271.8568,5.2196453,1.8659894,0.70248217,0.15535996
-270.68203,0.68077945,0.3227663,4,15,0,272.8192,5.1079247,1.4027636,0.53823124,0.42998513
-268.77637,1,0.3227663,2,3,0,271.49339,5.0653871,1.0410031,0.53664799,0.43630973
-267.36933,0.97923454,0.3227663,3,7,0,269.62429,5.171993,1.2340756,0.56776171,0.32929553
-268.13733,0.92453349,0.3227663,3,15,0,269.29462,4.9006866,1.0156006,0.58338501,0.33559247
-268.26255,0.96009311,0.3227663,3,15,0,270.64969,4.9689452,0.98510238,0.34621066,0.51658506
-268.56322,0.7807932,0.3227663,4,15,0,270.6089,5.165109,1.1489658,0.64647939,0.32689408
-268.30459,0.99979086,0.3227663,4,15,0,268.8611,5.0195161,2.0985155,0.37700638,0.28654883
-267.67578,0.87407472,0.3227663,3,15,0,269.51491,5.1621327,1.4501496,0.64185313,0.19233476
-268.54081,0.92510899,0.3227663,2,7,0,269.73577,5.0437742,1.6664321,0.75422568,0.20704606
-267.38566,0.9179436,0.3227663,4,15,0,269.5634,5.132408,1.1178511,0.6281206,0.2948021
-271.30808,0.92276293,0.3227663,3,7,0,273.5452,5.2712559,2.4226458,0.78767459,0.042567597
-273.38369,0.80496833,0.3227663,3,15,0,278.83538,4.7526824,0.93857097,0.67944465,0.30004185
-271.60172,1,0.3227663,3,7,0,274.60748,4.8199419,0.93693447,0.67829959,0.29100915
-269.56945,1,0.3227663,2,3,0,271.86059,4.8698195,1.3461959,0.56935245,0.38866169
-267.23348,0.92530669,0.3227663,3,15,0,273.11003,4.9564246,1.7748652,0.51755581,0.23062617
-267.24898,0.99774166,0.3227663,4,15,0,268.01848,5.1320861,1.8847213,0.54867827,0.23344249
-268.32298,0.69919242,0.3227663,3,15,0,270.88097,5.0841473,1.5669549,0.60841712,0.15238307
-268.998,0.99167717,0.3227663,4,15,0,271.81079,5.1168543,0.97279631,0.63841344,0.34951903
-267.97522,0.98433862,0.3227663,4,15,0,269.81496,5.0016545,0.83883807,0.5347831,0.42893272
-268.86557,0.99694723,0.3227663,3,7,0,269.16517,5.0143554,0.69969998,0.52018492,0.46082311
-267.688,0.99950548,0.3227663,3,7,0,269.02853,5.0613475,0.75926707,0.52686437,0.41185231
-267.82188,0.98315989,0.3227663,3,15,0,268.5322,5.0094892,1.1990667,0.60987271,0.34793226
-268.4957,0.80325651,0.3227663,2,7,0,271.26702,4.9911773,0.9391931,0.63443416,0.28365251
-272.62467,0.98973357,0.3227663,4,15,0,273.09792,5.01027,0.51832103,0.3861866,0.60726789
-273.84799,0.96591101,0.3227663,3,7,0,274.96021,5.0602239,0.54861022,0.38550858,0.61172853
-274.54995,0.99982254,0.3227663,4,15,0,277.31111,5.0843159,1.8623134,0.75425667,0.24542834
-272.61481,0.99148243,0.3227663,4,15,0,276.34764,5.2550333,1.2290099,0.79109325,0.2071842
-271.71019,0.99012908,0.3227663,3,7,0,273.47437,5.1254535,1.7109432,0.78181554,0.21574805
-271.355,0.91860809,0.3227663,3,15,0,276.57699,4.9617303,2.8896148,0.4266743,0.27916359
-270.12188,0.96209148,0.3227663,4,15,0,273.4694,5.0310351,0.58049718,0.59683982,0.36514909
-266.79676,0.91971128,0.3227663,3,15,0,270.11203,5.029126,1.2538427,0.48629275,0.33191311
-266.92587,0.99260905,0.3227663,4,15,0,267.00702,5.076799,1.2318537,0.48607839,0.38410216
-268.02684,0.94720221,0.3227663,3,7,0,268.76298,4.9236174,1.6703348,0.60233749,0.29399067
-269.02325,0.92729807,0.3227663,3,7,0,269.33275,4.9306981,1.9032545,0.61474601,0.29045399
-267.00198,0.97890536,0.3227663,2,7,0,270.8421,5.1095566,1.4441315,0.61656411,0.23012391
-270.84644,0.91172534,0.3227663,4,15,0,271.99144,4.9515807,0.46250807,0.49778208,0.48878934
-268.17047,0.9956968,0.3227663,3,15,0,274.14361,5.0471399,2.348361,0.57407364,0.10861552
-268.64717,0.9986658,0.3227663,3,7,0,269.17242,5.0265144,2.6792784,0.50542117,0.10825866
-269.4456,0.90887887,0.3227663,4,15,0,271.17269,5.0265574,0.65566409,0.57634371,0.41093306
-270.64058,0.9285536,0.3227663,3,7,0,271.46293,4.9946229,0.54573753,0.58434675,0.4023041
-267.88573,0.99338783,0.3227663,3,7,0,272.2574,5.1008561,0.82290414,0.53057746,0.42668836
-268.28249,0.97461425,0.3227663,3,15,0,269.88363,5.0803733,2.433032,0.46125601,0.21706747
-269.22834,0.98507442,0.3227663,4,15,0,270.75401,4.782617,1.9763503,0.42526418,0.30704502
-270.73748,0.79645738,0.3227663,3,7,0,271.24607,4.7738576,1.6387039,0.35867939,0.29339754
-271.92044,0.67695709,0.3227663,4,15,0,276.36701,5.2051592,1.8296702,0.89857596,0.092718888
-273.07897,0.93740832,0.3227663,2,3,0,273.55742,5.1792041,1.5942205,0.91276665,0.082486495
-269.92487,0.81732611,0.3227663,3,15,0,273.92501,5.0383298,1.871863,0.81613459,0.16471495
-267.77325,0.9795242,0.3227663,3,7,0,270.27962,5.0967893,1.3867077,0.72342921,0.19083788
-268.84108,0.93160439,0.3227663,4,15,0,270.07684,4.9811405,0.58989658,0.49444853,0.46502082
-271.9186,0.86765626,0.3227663,3,7,0,274.20178,4.8656321,0.96942457,0.23000397,0.61827376
-273.20943,0.62472627,0.3227663,2,3,0,274.01841,4.8519622,0.98455385,0.1890924,0.61477612
-269.94302,0.14362333,0.3227663,3,7,0,277.79549,4.9855255,1.3513779,0.26826534,0.44206239
-272.14575,0.085519765,0.3227663,2,3,0,273.66338,4.9784633,1.3645072,0.28856534,0.34167536
-268.17651,0.23051505,0.3227663,3,7,0,276.94602,5.1227503,1.1464742,0.65612641,0.31485903
-267.21038,0.99430339,0.3227663,4,15,0,268.52052,5.078092,1.9989651,0.60191035,0.19748423
-270.10375,0.76452406,0.3227663,3,15,0,270.68906,5.0580836,1.6371661,0.41177242,0.45394982
-269.59241,0.97304192,0.3227663,4,15,0,272.3438,5.0676605,2.0819081,0.57273233,0.079358066
-267.44143,0.96907124,0.3227663,3,15,0,270.6946,4.9331248,1.0731041,0.49056424,0.35381989
