# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:55:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep1/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.311533
# Diagonal elements of inverse mass matrix:
# 0.0139809, 0.162769, 0.331807, 2.07648
-270.37478,0.93226021,0.31153287,4,15,0,272.55927,4.8308352,1.2241871,0.44751582,0.28995872
-270.23948,1,0.31153287,4,15,0,271.39539,5.2307233,1.033843,0.71556308,0.27304853
-269.98445,0.90668833,0.31153287,3,15,0,272.90433,5.0084777,1.1039672,0.55092362,0.43690387
-268.30283,0.98594967,0.31153287,3,7,0,270.27872,5.0252365,0.70785594,0.55637339,0.40701393
-269.29031,0.89989793,0.31153287,4,15,0,271.27754,5.0203702,2.2839097,0.58655976,0.073237262
-267.52367,0.9989429,0.31153287,2,7,0,270.73256,5.0531825,2.2129879,0.58224409,0.15292244
-266.98388,0.90206763,0.31153287,3,7,0,268.20079,5.1094916,1.5399335,0.53109757,0.25202078
-267.14471,0.99892219,0.31153287,3,15,0,267.78823,4.950576,1.1151202,0.43482875,0.41995137
-268.14266,0.73857885,0.31153287,3,7,0,268.87321,4.9470572,1.0052917,0.60708502,0.29978436
-268.54443,0.99766812,0.31153287,3,7,0,268.83125,4.9732711,1.1530707,0.56858848,0.39912401
-267.64757,0.93801699,0.31153287,4,15,0,269.58636,5.1234875,2.1403277,0.61713022,0.14228789
-266.70539,0.96867823,0.31153287,2,7,0,268.30487,5.0764953,1.503612,0.53911774,0.28632115
