# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = low_dim_gauss_mix_model
# start_datetime = 2026-08-20 13:54:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/low_dim_gauss_mix.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/low_dim_gauss_mix/rep0/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/low_dim_gauss_mix__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,theta
# Adaptation terminated
# Step size = 0.567505
# Diagonal elements of inverse mass matrix:
# 0.00179148, 0.000150637, 0.000901781, 0.00128881, 0.0048713
-2106.6172,0.97053864,0.56750452,3,7,0,2108.1684,-2.7258722,2.9384813,1.0575409,1.0179674,0.64433255
-2106.6989,0.94724974,0.56750452,2,7,0,2108.1752,-2.694161,2.9602642,1.0517456,1.0123385,0.63592689
-2106.1988,1,0.56750452,3,7,0,2107.3488,-2.7204023,2.7716948,1.026178,1.0294739,0.61421968
-2106.4123,0.99486687,0.56750452,3,7,0,2107.0074,-2.6873378,2.9474599,1.0576156,1.0038617,0.6314861
-2107.1141,0.91122171,0.56750452,3,7,0,2109.4296,-2.7867737,2.7936031,1.0032056,0.99545019,0.60761017
-2105.0326,1,0.56750452,2,3,0,2107.7372,-2.761192,2.8518919,1.0279924,1.0097145,0.60864262
-2106.1412,0.91928214,0.56750452,3,7,0,2108.6396,-2.6959607,2.7948576,1.0310948,1.0238045,0.63341005
-2105.3819,1,0.56750452,3,7,0,2106.3775,-2.7380586,2.9268287,1.0389784,0.99919709,0.61048164
-2106.9325,0.95268465,0.56750452,3,7,0,2107.628,-2.7324285,2.8708093,1.0211729,0.97159054,0.59324284
-2107.5517,0.74514611,0.56750452,3,7,0,2110.8903,-2.6728382,2.9196938,1.0075264,1.0739185,0.63608106
-2108.1616,0.72951682,0.56750452,2,3,0,2112.44,-2.7128406,2.775716,1.00663,1.1052023,0.6336061
-2105.5825,0.99485577,0.56750452,3,7,0,2109.4498,-2.7455194,2.8744856,1.0470725,0.97935063,0.60769381
-2106.4558,0.51133104,0.56750452,3,7,0,2111.1703,-2.6879665,2.9073811,1.0506507,1.062319,0.6084263
-2105.5126,1,0.56750452,3,7,0,2106.7636,-2.7047881,2.8304336,1.0387312,1.0619155,0.62222312
-2105.59,0.97020709,0.56750452,3,7,0,2106.7234,-2.7025442,2.9140729,1.0243471,0.97446251,0.62138615
-2105.2931,0.94632632,0.56750452,2,7,0,2107.8893,-2.7654639,2.9211164,1.032491,1.0400846,0.6232227
-2105.2256,0.99738257,0.56750452,3,7,0,2105.8213,-2.7292541,2.837856,1.0138735,0.98334529,0.6168085
-2106.7828,0.46425798,0.56750452,2,7,0,2113.1561,-2.7781945,2.8590053,1.019991,1.0647629,0.59526319
-2107.825,0.9308744,0.56750452,3,7,0,2109.9051,-2.6715909,2.8736164,1.0398142,1.0763082,0.6450753
-2106.4195,1,0.56750452,3,7,0,2109.2404,-2.7258683,2.7856299,0.98836685,1.048694,0.62421818
-2105.972,0.98454571,0.56750452,3,7,0,2107.8949,-2.7567005,2.8611911,1.0747852,0.98849992,0.62275157
-2105.3354,0.72140278,0.56750452,2,5,0,2109.0115,-2.7426786,2.8545877,1.0048471,1.0719877,0.61949278
-2107.6084,0.76681854,0.56750452,3,7,0,2109.5934,-2.6445347,2.9396361,1.0569948,0.9895752,0.62259728
-2105.221,0.99289718,0.56750452,2,7,0,2107.7585,-2.7127143,2.8656498,1.0655188,1.0109242,0.62420078
-2105.6279,0.93515686,0.56750452,2,3,0,2106.0668,-2.733575,2.8273477,1.063832,1.0277218,0.63006371
-2107.3556,0.91593029,0.56750452,2,3,0,2107.7902,-2.7365156,2.8096509,1.0886212,1.0218596,0.63465498
-2108.0898,0.95739434,0.56750452,3,7,0,2111.3735,-2.7040165,2.9115598,0.99260327,0.9425709,0.63161005
-2107.8863,0.99402267,0.56750452,3,7,0,2110.4702,-2.6613956,2.8132924,1.0617708,1.0689656,0.61438056
-2109.184,0.93895751,0.56750452,3,7,0,2110.8702,-2.8339967,2.891368,0.99640141,0.98355029,0.63775507
-2106.3035,0.97068208,0.56750452,3,7,0,2112.1955,-2.7195776,2.9283228,1.0678694,0.98845143,0.63682027
-2109.0049,0.60854582,0.56750452,3,11,0,2114.3012,-2.7083321,2.9318041,1.0462835,1.0745972,0.58590507
-2110.215,0.98188931,0.56750452,3,7,0,2112.2934,-2.7144106,2.9586845,1.0198943,0.99006271,0.66530643
