# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = low_dim_gauss_mix_model
# start_datetime = 2026-08-20 13:54:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/low_dim_gauss_mix.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/low_dim_gauss_mix/rep0/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/low_dim_gauss_mix__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,theta
# Adaptation terminated
# Step size = 0.616332
# Diagonal elements of inverse mass matrix:
# 0.00161691, 0.000139129, 0.000947262, 0.00155571, 0.00422979
-2106.6314,0.89699624,0.61633198,3,7,0,2107.6312,-2.7632781,2.8871315,1.0513922,1.0665289,0.64167767
-2105.1577,0.99766988,0.61633198,3,7,0,2107.9602,-2.7170107,2.8590541,1.0194385,1.0175504,0.60378019
-2110.5473,0.82103649,0.61633198,2,7,0,2111.5144,-2.8628912,2.9373301,1.0080627,1.0303795,0.63015656
-2108.076,0.7813135,0.61633198,2,3,0,2114.6459,-2.8315418,2.9271855,1.019377,1.0081513,0.61201308
-2108.181,0.95468491,0.61633198,3,7,0,2110.1063,-2.6449231,2.7883932,1.0388417,1.019026,0.63264673
-2110.3521,0.92667172,0.61633198,3,7,0,2111.2661,-2.8545056,2.9310137,1.0730939,1.0377979,0.62726002
-2110.5318,0.96464017,0.61633198,3,7,0,2113.2016,-2.6394921,2.7842875,1.0305108,0.94631605,0.62796924
-2107.6246,1,0.61633198,3,7,0,2111.592,-2.7431623,2.8892822,1.0330122,1.1230741,0.61107978
-2105.4612,1,0.61633198,2,3,0,2107.9237,-2.7393218,2.8504262,1.0213305,1.074986,0.62983684
-2105.4473,0.98740506,0.61633198,3,7,0,2106.3198,-2.7326946,2.9002108,1.03516,1.0631156,0.63235806
-2106.166,0.94233337,0.61633198,3,7,0,2107.5366,-2.6936351,2.8982859,1.0029618,0.9861677,0.60729815
-2104.4667,0.99142389,0.61633198,2,7,0,2106.533,-2.7357515,2.8810417,1.0305581,1.0313637,0.62400109
-2106.5411,0.73287301,0.61633198,2,3,0,2107.848,-2.7657932,2.8759633,1.0744415,0.9946218,0.60583825
-2107.028,0.9081694,0.61633198,2,3,0,2108.1667,-2.7350071,2.9567413,1.0750705,1.0315886,0.61127016
-2105.4341,0.99150781,0.61633198,2,3,0,2107.363,-2.7514572,2.8996012,1.0658697,1.0295498,0.62204784
-2104.5326,1,0.61633198,2,3,0,2105.5189,-2.7427867,2.8570702,1.0160173,1.0303018,0.62535886
-2105.638,0.83533514,0.61633198,2,7,0,2107.1238,-2.7829178,2.8341658,1.0236479,1.001041,0.63033082
-2105.5489,0.89478193,0.61633198,2,3,0,2107.5183,-2.6933277,2.9242324,1.0197504,0.99402036,0.62426896
-2107.4445,0.88309643,0.61633198,3,7,0,2109.0208,-2.7511504,2.7783453,1.0703758,1.0082131,0.63379244
-2106.8514,0.99865632,0.61633198,2,7,0,2108.1516,-2.6947313,2.972336,1.0479511,1.0331418,0.61531254
-2106.034,0.91459429,0.61633198,2,3,0,2109.8591,-2.689822,2.8997993,1.035379,0.99502579,0.60217458
-2109.7931,0.75165312,0.61633198,2,7,0,2111.1579,-2.733122,2.897554,1.0028599,0.93027706,0.5924479
-2106.1967,0.94002715,0.61633198,2,7,0,2111.3232,-2.7380081,2.9281868,0.99894447,0.97646051,0.62638827
-2108.1633,0.90054563,0.61633198,2,7,0,2109.1182,-2.7740381,2.8498807,0.98438494,0.95419759,0.60741803
-2106.3103,0.97221151,0.61633198,3,7,0,2110.1285,-2.7172558,2.8152022,0.99482729,1.0008629,0.60423733
-2106.4117,0.85935186,0.61633198,3,7,0,2109.9249,-2.6932907,2.9309462,1.0738945,1.0246158,0.61665281
-2106.6188,0.99002991,0.61633198,3,7,0,2108.609,-2.7409021,2.9451946,0.98454014,1.011486,0.61431304
-2108.625,0.84328423,0.61633198,2,3,0,2109.8787,-2.8248621,2.8165513,1.0528379,1.0861907,0.6219972
-2106.8966,1,0.61633198,3,7,0,2109.5488,-2.7068,2.9135574,1.0218643,0.94532372,0.61556052
-2110.1989,0.81122602,0.61633198,2,3,0,2111.6093,-2.7028867,2.8814254,1.0589492,0.89948525,0.62229464
-2106.3805,0.9898635,0.61633198,2,7,0,2111.9511,-2.7525453,2.8662282,1.0157637,0.96966654,0.60113419
-2108.1963,0.73578151,0.61633198,3,7,0,2111.4923,-2.6909666,2.9353864,1.0277059,1.0972717,0.63967852
-2106.8657,0.97268247,0.61633198,2,7,0,2109.0153,-2.7510201,2.7917782,1.0448411,1.0861696,0.62678889
-2105.851,0.96350965,0.61633198,2,7,0,2108.8138,-2.7011394,2.8467678,1.0125109,0.98453174,0.63667277
-2105.3814,0.91465892,0.61633198,2,7,0,2108.2434,-2.6985362,2.8799372,1.0233638,0.97883644,0.61484326
-2106.0469,0.96341367,0.61633198,2,3,0,2106.465,-2.6847333,2.847559,1.0223404,0.97651949,0.61160532
-2107.3151,0.92460262,0.61633198,2,3,0,2107.9425,-2.6659667,2.8193671,0.9998942,0.98529859,0.61362674
-2107.6467,0.94918626,0.61633198,3,7,0,2109.6204,-2.8020524,2.8890394,1.0710822,1.0659019,0.63001782
-2108.318,0.99198392,0.61633198,3,7,0,2109.2492,-2.6792293,2.7971285,0.98286416,0.9814868,0.611224
-2105.875,0.99155758,0.61633198,2,3,0,2109.194,-2.6975623,2.8659671,1.0434787,1.0674836,0.61078168
-2105.9921,0.98102088,0.61633198,2,7,0,2106.7692,-2.7088792,2.7995363,1.0269486,1.0297421,0.60494007
-2106.5794,0.92491136,0.61633198,3,7,0,2109.468,-2.7984236,2.9151946,1.0132379,1.0184943,0.63623703
-2105.6318,0.95889528,0.61633198,3,7,0,2108.7236,-2.6725463,2.8595872,1.0424948,1.0335759,0.62249642
-2107.3588,0.69780897,0.61633198,2,3,0,2110.8647,-2.6780298,2.8013425,1.0019932,1.0029591,0.6388324
-2107.2727,0.95099386,0.61633198,3,7,0,2109.0363,-2.8113438,2.8590337,1.0313761,0.9962177,0.60063205
-2106.0172,0.91634896,0.61633198,3,7,0,2111.4465,-2.7078002,2.8592643,1.008419,1.0586169,0.64017465
-2107.0202,0.87026923,0.61633198,3,7,0,2110.5636,-2.8229128,2.9074907,1.0225891,1.0351149,0.61765103
-2106.8126,0.77750424,0.61633198,2,3,0,2109.9742,-2.8119124,2.8290124,1.0156781,1.0065802,0.60959726
-2105.8683,0.99617096,0.61633198,2,7,0,2107.725,-2.6831766,2.9258468,1.0408914,1.0145727,0.61113292
-2107.6987,0.88200375,0.61633198,2,7,0,2110.0928,-2.7034223,2.9260816,1.0463437,1.0344902,0.5887396
-2108.1287,0.95920416,0.61633198,3,7,0,2112.631,-2.7899709,2.910416,0.9942717,1.0208396,0.65062169
-2108.7489,0.95096284,0.61633198,3,7,0,2112.1289,-2.6468635,2.8162569,1.0525221,0.98692199,0.59906685
-2106.2568,0.93505127,0.61633198,3,7,0,2111.1293,-2.6817234,2.9058399,1.0168033,1.0590738,0.63286979
-2106.9558,0.94112316,0.61633198,2,3,0,2108.2626,-2.693645,2.8656243,1.0074558,1.0376644,0.6496964
-2106.6855,0.99284858,0.61633198,3,7,0,2109.1399,-2.7931024,2.8942285,1.0323642,0.96393276,0.61917803
-2107.0385,0.97046911,0.61633198,3,7,0,2108.4549,-2.7492024,2.9083262,1.0481699,0.94232272,0.61501526
-2104.9417,1,0.61633198,2,3,0,2107.4366,-2.7326134,2.8756345,1.0532957,1.0239995,0.61231762
-2105.6251,0.96804912,0.61633198,3,7,0,2105.9957,-2.7236445,2.8630258,0.98696316,1.0018024,0.6297512
-2106.2577,0.87263709,0.61633198,3,7,0,2108.1893,-2.7547378,2.8340231,0.99414486,0.99277172,0.6033599
-2106.9768,0.94930301,0.61633198,3,7,0,2108.2694,-2.7187393,2.8516885,1.0407305,1.0865021,0.64272249
-2105.9464,0.99807392,0.61633198,3,7,0,2107.8468,-2.7351076,2.8795549,0.99115837,0.97395725,0.6210483
-2106.3177,0.98234105,0.61633198,3,7,0,2107.8373,-2.7861613,2.8769695,1.0368547,1.0811255,0.61667963
-2109.2746,0.82996256,0.61633198,2,3,0,2110.2729,-2.7978272,2.8984658,0.97938048,1.091576,0.64305988
-2109.5474,0.88967276,0.61633198,3,7,0,2112.8876,-2.7094864,2.8076233,1.105631,0.97696714,0.60334731
-2105.461,1,0.61633198,2,3,0,2109.2737,-2.7094627,2.9283323,1.0079512,1.0369847,0.62323225
-2106.1056,0.98198122,0.61633198,2,7,0,2106.9415,-2.7086295,2.8018877,0.99158485,1.0460206,0.62247959
-2108.3073,0.81209889,0.61633198,3,7,0,2109.7027,-2.7059768,2.7414582,1.0346352,1.0540418,0.63771831
-2107.834,1,0.61633198,3,7,0,2109.032,-2.7036427,2.7477346,1.0304727,1.0703824,0.62837682
-2107.7205,0.97526704,0.61633198,3,7,0,2110.3336,-2.8131418,2.9014253,1.0285544,0.96220052,0.61667294
-2106.8907,0.98403309,0.61633198,3,7,0,2110.2421,-2.7224339,2.8857925,1.0013341,1.0972677,0.63487486
-2105.0898,0.89236531,0.61633198,2,5,0,2109.4245,-2.7115985,2.915208,1.0222837,1.0444667,0.62028946
-2108.6475,0.8415435,0.61633198,2,3,0,2109.0902,-2.7114097,2.8226079,1.1018152,1.0031403,0.64419372
-2108.8002,1,0.61633198,3,7,0,2110.5248,-2.7835508,2.9002193,0.97323266,1.0164777,0.59041922
-2106.8598,0.97778465,0.61633198,2,7,0,2110.2764,-2.7291966,2.864902,0.98747514,1.0225003,0.59278111
-2111.6191,0.67675322,0.61633198,3,7,0,2114.1444,-2.7421685,2.7386076,0.94289244,1.073919,0.63336985
-2105.833,1,0.61633198,2,3,0,2111.4237,-2.7155115,2.8520612,0.98179692,1.0425789,0.61409497
-2107.3731,0.79054601,0.61633198,3,7,0,2110.1629,-2.6955905,2.9462709,1.0860834,0.98861386,0.63228934
-2106.8996,0.98485859,0.61633198,3,7,0,2109.3973,-2.7858045,2.8272626,1.0388607,0.96742771,0.61145183
-2105.2279,0.81605557,0.61633198,3,7,0,2113.4269,-2.7287756,2.8155251,1.0080263,1.0109606,0.62802558
-2106.0305,0.88446509,0.61633198,3,7,0,2106.983,-2.7436999,2.8094174,0.99566022,1.0360849,0.63659904
-2108.1004,0.73414405,0.61633198,3,7,0,2110.6236,-2.7945542,2.8420776,1.062827,1.004259,0.59280876
-2110.0175,0.83779167,0.61633198,3,7,0,2115.136,-2.7145274,2.8111495,1.0777622,1.0617094,0.65852216
-2108.6684,0.9388744,0.61633198,3,7,0,2114.2851,-2.6306089,2.8795157,1.0618082,1.066279,0.61567717
-2106.9685,0.9436906,0.61633198,3,7,0,2110.222,-2.7982762,2.9516427,1.0110459,1.0288025,0.62162429
-2107.9416,0.95343405,0.61633198,3,7,0,2109.8308,-2.800699,2.8533789,1.0528304,1.023311,0.59143383
-2106.8037,0.97663882,0.61633198,3,7,0,2109.8498,-2.712264,2.9514564,1.0735624,0.98963574,0.6139901
-2106.6451,0.85281577,0.61633198,3,11,0,2109.2779,-2.7694018,2.8381652,1.0712339,0.97532576,0.61938895
-2105.5177,0.73104152,0.61633198,2,3,0,2110.841,-2.7249469,2.9442266,1.0429965,1.0338925,0.62150765
-2106.2586,0.85036534,0.61633198,3,7,0,2109.3631,-2.7032627,2.9031638,0.99265314,1.0624008,0.63044993
-2105.9329,0.91467668,0.61633198,3,7,0,2109.5314,-2.7250478,2.8846045,1.0448175,0.96351667,0.63584185
-2105.0799,0.99810653,0.61633198,2,3,0,2106.1382,-2.7270063,2.8813522,1.0248197,0.98918089,0.6349992
-2106.269,0.90374475,0.61633198,3,7,0,2107.8495,-2.7664685,2.9281064,1.0341512,1.062445,0.60736623
-2107.5194,0.93297659,0.61633198,2,3,0,2108.2204,-2.7980085,2.8887664,1.0386492,1.0675096,0.59713567
-2105.8571,1,0.61633198,3,7,0,2108.3997,-2.7612469,2.8846453,0.9818516,1.0101344,0.62536624
-2106.7139,0.85746997,0.61633198,2,3,0,2107.8955,-2.7277877,2.9335332,0.9879666,0.99595282,0.63609741
-2108.409,0.93571349,0.61633198,2,3,0,2109.2554,-2.7441078,2.9611038,0.99008786,0.98470215,0.64495373
-2107.8412,1,0.61633198,2,3,0,2109.9391,-2.7972548,2.8668662,1.0164206,0.97358636,0.6466073
-2106.8307,0.90234469,0.61633198,2,7,0,2112.6889,-2.6589293,2.9063373,1.0641377,1.0376358,0.61732336
-2110.6825,0.90588288,0.61633198,2,3,0,2111.7189,-2.6283398,2.7487643,1.0534693,1.0109827,0.61495193
-2112.219,0.99966317,0.61633198,2,3,0,2113.0393,-2.587907,2.7867927,1.0638494,1.0078507,0.61291159
-2108.3357,0.96882467,0.61633198,2,7,0,2113.8159,-2.6234417,2.8381493,1.0556544,0.99698186,0.6176656
-2109.6389,0.96608211,0.61633198,3,7,0,2110.72,-2.8219766,2.9757664,0.99452518,1.0588718,0.62357752
-2107.4171,0.99318835,0.61633198,3,7,0,2111.0196,-2.6343956,2.8812176,1.0538035,0.99203719,0.61866846
-2105.7979,0.98516223,0.61633198,3,7,0,2108.3488,-2.7567881,2.8190928,1.0356442,1.0656358,0.63148249
-2106.5635,0.8209983,0.61633198,3,7,0,2109.7989,-2.6921842,2.9457038,1.0097741,1.0035641,0.60760982
-2105.0013,0.99334015,0.61633198,3,7,0,2107.8276,-2.7143781,2.8211613,1.0271081,1.0371719,0.62432725
-2107.5053,0.79746537,0.61633198,2,3,0,2108.1072,-2.7266743,2.8240924,1.0854979,1.0722275,0.61582053
-2107.4744,1,0.61633198,3,7,0,2109.5808,-2.7674666,2.9400927,1.0080626,0.96651121,0.60538376
-2106.2868,0.95322175,0.61633198,3,7,0,2110.0164,-2.7064516,2.8323685,1.0127182,1.0764769,0.63566297
-2106.0884,0.96337816,0.61633198,3,7,0,2107.4503,-2.7588116,2.85511,1.0230861,0.96977171,0.60578995
-2106.8066,0.98288203,0.61633198,3,7,0,2108.2977,-2.7922295,2.8609966,1.0056475,0.97792055,0.60651781
-2108.1683,0.85341755,0.61633198,3,7,0,2110.726,-2.6554873,2.8760669,1.0204085,1.0417761,0.6501798
-2106.2736,0.81645409,0.61633198,3,7,0,2111.2155,-2.7870585,2.9157384,1.0329875,1.0426935,0.60547527
-2105.3667,0.972654,0.61633198,3,7,0,2107.9305,-2.7676613,2.8797077,1.0456263,0.99962307,0.63402028
-2107.8996,0.61444754,0.61633198,3,7,0,2114.9367,-2.6741623,2.8397854,0.99341753,1.0829986,0.60405159
-2110.1543,0.90620104,0.61633198,2,3,0,2111.1058,-2.6688832,2.8363346,0.99163773,1.1334879,0.60840989
-2106.5889,0.94277916,0.61633198,2,3,0,2113.0848,-2.6777544,2.8524903,1.0091815,1.0749921,0.62889255
-2108.5947,0.96563987,0.61633198,3,7,0,2109.6782,-2.8288785,2.9242089,1.0369653,0.97323904,0.61241559
-2106.6946,0.88758037,0.61633198,3,7,0,2111.158,-2.7316277,2.7927951,1.0190933,1.0944374,0.61568896
-2105.9446,1,0.61633198,3,7,0,2107.6741,-2.7326916,2.9160895,1.0045684,0.99817132,0.60289362
-2105.0103,0.93071738,0.61633198,3,7,0,2107.9068,-2.7313106,2.859419,1.0358516,1.0285628,0.60539756
-2106.4969,0.80090955,0.61633198,3,7,0,2109.211,-2.7472973,2.9584398,1.0132225,1.0112994,0.63744825
-2107.7819,0.76380395,0.61633198,3,7,0,2113.6261,-2.7494418,2.8488173,0.95842917,0.99562407,0.63159904
-2108.0898,0.99554664,0.61633198,3,7,0,2109.6278,-2.7796637,2.8914964,1.1003847,1.0506156,0.62447449
-2107.7991,0.98371758,0.61633198,3,7,0,2109.2093,-2.6999617,2.8994838,0.9629601,0.99126221,0.61936432
-2112.3101,0.60418322,0.61633198,2,3,0,2114.8431,-2.7503607,2.786505,0.92393745,0.99850932,0.61733432
-2113.1132,0.96924479,0.61633198,2,7,0,2115.1297,-2.7462198,2.8614585,0.91039888,1.0101921,0.62105552
-2104.8447,0.9967327,0.61633198,2,3,0,2113.582,-2.7612089,2.8830064,1.0443702,1.03031,0.62032399
-2106.0197,0.86341507,0.61633198,3,7,0,2106.7627,-2.7247278,2.8193412,1.0185859,0.98190439,0.60563007
-2105.6438,0.96880392,0.61633198,2,7,0,2107.2724,-2.7450155,2.9327158,1.0202131,1.0138136,0.63688808
-2107.2757,0.89658396,0.61633198,3,7,0,2108.7435,-2.6816882,2.9023052,1.0037204,1.0137089,0.59422154
