# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = blr_model
# start_datetime = 2026-08-20 13:55:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/blr.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/blr/rep2/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/blr__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
# Adaptation terminated
# Step size = 0.113086
# Diagonal elements of inverse mass matrix:
# 1.08559e-05, 1.08147e-05, 1.0996e-05, 1.08732e-05, 1.08033e-05, 0.00483876
-163.46041,0.97601698,0.11308587,3,7,0,166.05807,1.0000008,0.99908904,0.99846324,0.99984911,0.99934352,1.1044996
-165.3143,0.85532036,0.11308587,3,15,0,168.91846,1.0010384,1.0002461,1.0002498,1.001259,1.0005334,1.0366074
-164.61872,0.69376657,0.11308587,2,3,0,169.6443,1.0019112,1.0002368,0.99979175,1.0003366,1.0004578,1.0408984
-163.71216,0.88619224,0.11308587,4,23,0,167.5355,1.0007305,0.99979608,0.99927275,1.0006503,0.99973353,1.069467
-163.33855,0.91215021,0.11308587,3,15,0,166.8562,0.99814542,0.99725914,0.99713231,0.99790251,0.99737402,1.0390455
-166.54389,0.52616316,0.11308587,2,3,0,168.60608,0.99861799,0.99728664,0.9974917,0.99820517,0.99654672,1.0313752
-164.79918,0.99583622,0.11308587,3,7,0,169.16696,0.99854661,0.99868354,0.99781721,0.99749358,0.99772176,1.0323685
-165.26691,1,0.11308587,5,31,0,166.13029,0.99825943,0.9984738,0.99753404,0.99731511,0.99762601,1.1112041
-166.91086,0.87835528,0.11308587,4,27,0,169.44628,0.99855304,0.9971911,0.99682995,0.99886555,0.99752056,1.1565563
-167.7261,0.90531203,0.11308587,3,7,0,170.59215,0.99870928,0.99848505,0.99708771,0.99676765,0.9975158,1.1820986
-165.61493,0.91169778,0.11308587,4,31,0,170.33834,0.99881384,0.99945514,0.99759626,0.99816166,0.99809261,1.1226307
-168.20137,0.82816151,0.11308587,2,3,0,170.15436,0.99858166,0.99977824,0.9974046,0.99880583,0.99753845,1.1174495
-168.15619,0.95289502,0.11308587,3,15,0,172.89957,0.9992633,0.99943586,0.99686644,0.99950231,0.99768186,1.1254121
-165.36516,0.93820045,0.11308587,3,15,0,172.96266,0.9992412,0.99886964,0.99720993,0.99839856,0.99724298,1.1183555
-165.31617,0.99673024,0.11308587,3,7,0,166.26868,0.99862163,0.99711075,0.99775915,0.99809037,0.99831727,1.1273032
-166.38707,0.8715852,0.11308587,4,19,0,169.4957,1.0006959,0.99930798,1.0003652,1.0005057,1.0005028,1.0707075
-163.23034,0.97277199,0.11308587,4,23,0,168.34676,1.0000246,0.99988672,0.99880812,1.0000623,0.99907071,1.0217145
-163.65967,0.92976428,0.11308587,5,31,0,166.30929,1.0000177,0.9993118,0.9981368,0.99909325,0.99931873,1.1329496
-172.12329,0.46390317,0.11308587,2,3,0,173.36403,1.0013387,0.99873413,0.99865061,0.99760702,0.99940855,1.1205087
-166.28815,0.95965358,0.11308587,3,15,0,177.00467,0.99898461,0.9980762,0.99916585,0.99857411,0.9978185,1.0959972
-165.87297,0.91847611,0.11308587,3,7,0,170.10471,1.0005202,0.9993908,0.99774868,0.99910889,0.99969289,1.1354679
-166.3149,0.8911174,0.11308587,2,7,0,169.90319,1.0006377,0.99942201,0.99861175,0.99979944,1.0004462,1.1488524
-166.47358,0.97770376,0.11308587,3,15,0,169.36545,0.9993182,0.99883922,0.99857062,0.99859172,0.99729106,1.1239966
-163.72395,1,0.11308587,3,7,0,166.84163,0.99899027,0.99878712,0.99845891,0.99866808,0.99844173,1.1332284
-169.89454,0.60162263,0.11308587,3,15,0,174.84604,1.0013916,0.99883579,1.0003624,1.0006934,0.99945027,1.2213593
-166.65366,0.9121767,0.11308587,4,31,0,172.86236,0.99842958,0.99760943,0.9968651,0.99644344,0.99791713,1.0529452
-165.33983,0.94241029,0.11308587,3,7,0,170.95189,0.99702948,0.99654541,0.99614751,0.99666788,0.99646259,1.062731
-166.72038,0.76430512,0.11308587,4,23,0,172.21035,0.99819291,0.99645208,0.99648583,0.99814616,0.9968752,1.0298835
-164.76015,0.99744968,0.11308587,4,23,0,169.14182,1.0011418,0.99922534,0.99905589,0.99985372,0.99899373,1.1285193
-163.52947,0.97743395,0.11308587,4,23,0,165.83427,1.0012018,0.99970309,0.99909359,0.99999108,0.99930771,1.0664613
-165.74675,0.89597533,0.11308587,2,7,0,166.41912,1.0003597,1.0007296,0.99991477,1.0003385,1.0005081,1.0757723
-165.56577,0.96688288,0.11308587,3,15,0,169.39256,1.0007427,0.99865981,0.99983085,0.99943665,0.99886385,1.0691565
-165.99988,0.89907416,0.11308587,2,7,0,168.22069,0.99980548,0.99883024,0.99947547,0.99977215,1.0000728,1.0760661
-167.37445,0.90867501,0.11308587,4,23,0,172.58974,0.99946358,0.99835173,0.99607087,0.99777504,0.99790422,1.1698843
-167.82385,0.78530809,0.11308587,4,23,0,175.48841,0.99942143,0.99945378,0.99640872,0.99894511,0.99812434,1.0418345
-162.84068,0.8886988,0.11308587,2,3,0,171.19443,0.99975186,0.99833732,0.99863562,0.99895076,0.99828181,1.0640227
