# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = blr_model
# start_datetime = 2026-08-20 13:55:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/blr.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/blr/rep2/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/blr__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
# Adaptation terminated
# Step size = 0.113224
# Diagonal elements of inverse mass matrix:
# 1.08782e-05, 1.08898e-05, 1.10148e-05, 1.09441e-05, 1.08812e-05, 0.00480689
-162.58055,0.99958092,0.11322397,4,31,0,163.41544,1.0003143,0.99877807,0.99838864,0.99916079,0.99897967,0.94758882
-164.09873,0.83049887,0.11322397,2,7,0,164.99119,0.99949058,0.99969803,0.99908468,0.99915766,0.99908372,0.96178914
-168.55239,0.62364383,0.11322397,4,23,0,172.97533,0.99731432,0.99650767,0.99671559,0.99810453,0.99656226,1.1221088
-164.53658,1,0.11322397,2,3,0,168.62136,0.99777256,0.99728908,0.99617963,0.99725542,0.99659288,1.1110913
-164.22926,0.98017906,0.11322397,4,31,0,165.99317,0.9991017,0.9977082,0.99775081,0.99829449,0.99768969,1.1662387
-164.77106,0.86777194,0.11322397,4,23,0,169.03152,1.0007218,0.99990066,0.99927984,1.0007512,0.99988046,0.94103119
-164.51452,0.89063275,0.11322397,4,15,0,166.96321,0.99956948,0.99826876,0.99799126,0.99784041,0.99761595,0.95452586
-162.11416,0.95603643,0.11322397,3,11,0,165.73335,0.9993721,0.99856447,0.99767518,0.99894226,0.99821712,0.99335364
-163.37573,0.87527254,0.11322397,3,15,0,164.34094,0.99906542,0.99927694,0.99810489,0.99916029,0.9987541,0.99614135
-164.97807,0.98453837,0.11322397,4,31,0,165.85342,0.99940088,0.99967866,0.99843674,0.99936459,0.99924397,0.92087347
-166.26852,0.84860127,0.11322397,3,7,0,168.25658,1.0009425,0.99935182,0.99838628,0.99871788,0.99919057,0.9227632
-166.70011,0.87096761,0.11322397,2,3,0,168.94974,0.99908375,0.9986951,0.99888053,0.9996923,0.9986556,0.91468693
-168.26951,0.93629876,0.11322397,3,7,0,170.1417,1.0012014,1.0000313,0.99860954,0.9991188,1.0000796,0.92105656
-165.98823,0.99338109,0.11322397,4,23,0,169.57642,0.99811881,0.99754059,0.99679547,0.99870609,0.99705378,1.0557709
-165.4039,0.99142152,0.11322397,3,7,0,168.05456,0.99926622,0.9977002,0.99620546,0.99738541,0.99718172,1.0556266
-168.37528,0.66836728,0.11322397,3,15,0,173.739,0.99842267,0.99879762,0.99713393,0.99680823,0.99759636,0.99457874
-166.8526,1,0.11322397,3,7,0,170.22829,0.99960978,0.99744776,0.9978367,0.99934732,0.99795739,0.97696198
-168.67671,0.99518228,0.11322397,3,15,0,171.31482,0.99779238,0.99844803,0.99642993,0.99662349,0.99731402,0.98837439
-166.04752,0.95213,0.11322397,5,31,0,174.70585,0.9993849,0.99871937,0.99743389,0.99765374,0.99776886,0.90594529
-167.47203,0.97751229,0.11322397,4,31,0,171.91586,0.99982952,0.99845596,0.99799565,0.99793212,0.99807728,1.2764613
-169.03361,0.91155304,0.11322397,3,7,0,170.10121,0.99910033,0.99866691,0.99817654,0.99968028,0.99917825,1.2935938
-168.33784,0.99949389,0.11322397,3,7,0,170.40395,0.99974453,1,0.99818619,0.99892997,0.99853019,1.2842655
-172.71507,0.85477827,0.11322397,3,7,0,174.52922,1.0008137,0.99729791,0.99927488,0.99902398,0.99958933,1.286479
-164.2767,0.99698715,0.11322397,4,27,0,174.07786,0.99842338,0.99781835,0.99803316,0.99741447,0.99769259,1.0255108
-165.09988,0.77302168,0.11322397,3,15,0,169.14777,0.9990911,0.99842886,0.99634357,0.99851715,0.99803778,0.99380292
-162.63626,0.96966096,0.11322397,4,19,0,166.74401,0.99938391,0.99891117,0.99829497,0.99932104,0.99867413,0.95801438
-163.8913,0.9354133,0.11322397,4,15,0,164.90904,0.99838385,0.9978648,0.99761776,0.99742839,0.99737778,0.96803099
-162.76449,0.97963346,0.11322397,3,15,0,164.73071,0.99969688,0.99927743,0.9984616,0.99855006,0.99860476,0.98199303
-163.42762,0.84173017,0.11322397,2,3,0,165.37199,1.0000184,0.99937223,0.99908583,0.99921071,0.99844121,0.98159528
-164.63132,0.94294412,0.11322397,2,7,0,165.66635,1.0003669,0.99903,0.99938808,0.99949055,0.99842642,0.97983867
-164.5464,0.97845641,0.11322397,2,7,0,166.4454,1.0006288,0.99909532,0.99925,0.9995076,1.0001882,0.97646036
-168.37339,0.53893474,0.11322397,3,11,0,173.50594,0.99884545,0.99975212,0.99857477,0.99992415,0.99927976,0.9620996
-162.90478,1,0.11322397,2,7,0,168.70103,1.0008085,0.99970751,0.99940154,0.99967888,0.99928926,0.96750284
-163.16222,0.90868505,0.11322397,5,31,0,167.19696,0.99958287,0.99849232,0.99772482,0.99894714,0.99775865,1.0538124
