# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = kidscore_momiq_model
# start_datetime = 2026-08-20 13:55:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/kidscore_momiq.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/kidscore_momiq/rep2/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/kidscore_momiq__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.11201
# Diagonal elements of inverse mass matrix:
# 32.3951, 0.00314024, 0.00115682
-1478.5182,0.99436873,0.11200968,5,31,0,1484.3047,26.642942,0.6009634,18.918157
-1480.1959,0.95315253,0.11200968,4,31,0,1482.7827,18.825767,0.67271304,19.335947
-1480.4897,0.93273686,0.11200968,5,31,0,1482.8405,21.54914,0.64097361,17.190786
-1481.7108,0.69839179,0.11200968,3,11,0,1484.1472,22.753833,0.61863357,17.606427
-1479.519,0.99495162,0.11200968,4,27,0,1484.2347,29.366365,0.57942166,19.274005
-1479.9462,0.89737346,0.11200968,3,15,0,1481.7579,27.896748,0.57563635,19.034202
-1479.5105,0.99807273,0.11200968,2,7,0,1480.4269,28.123735,0.57549993,18.965423
-1479.5105,0.80656318,0.11200968,1,1,0,1480.2608,28.123735,0.57549993,18.965423
-1480.018,0.96284473,0.11200968,5,51,0,1481.2584,17.464978,0.67931258,17.943717
-1479.2687,0.99237643,0.11200968,2,7,0,1480.691,17.289045,0.69861729,17.912497
-1479.1635,0.94567091,0.11200968,5,31,0,1479.9227,18.434404,0.69034289,18.444182
-1478.9073,0.99577559,0.11200968,2,7,0,1479.3886,17.572563,0.69148682,18.446428
-1479.3667,0.99497735,0.11200968,5,63,0,1481.106,35.976204,0.51124481,18.302624
-1480.1954,0.97393378,0.11200968,4,15,0,1480.3409,37.765319,0.48740039,18.525881
