# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = kidscore_momiq_model
# start_datetime = 2026-08-20 13:55:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/kidscore_momiq.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/kidscore_momiq/rep2/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/kidscore_momiq__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.100721
# Diagonal elements of inverse mass matrix:
# 44.3815, 0.00435905, 0.00136351
-1479.0709,0.95673631,0.10072149,5,31,0,1481.369,31.03943,0.56965287,18.201711
-1478.8561,0.99738994,0.10072149,4,23,0,1479.5704,25.831599,0.59767945,18.367834
-1478.6361,1,0.10072149,1,1,0,1478.9752,25.87698,0.59875596,18.379936
-1478.3361,0.99888924,0.10072149,4,31,0,1479.2312,29.717601,0.57352165,18.627002
-1478.0515,0.99991284,0.10072149,5,47,0,1478.7059,22.904662,0.63633211,18.358271
-1478.0524,0.98010981,0.10072149,5,31,0,1478.2317,22.665255,0.63882413,18.113531
-1478.4609,0.92997471,0.10072149,4,27,0,1479.3241,28.849835,0.58811144,18.087273
-1478.0214,0.91963496,0.10072149,3,15,0,1479.3012,28.228956,0.58724571,18.409859
-1479.157,0.98782,0.10072149,5,31,0,1479.2738,34.19404,0.52467677,18.648676
-1479.4532,0.99511759,0.10072149,3,15,0,1479.6539,35.126506,0.51946394,18.767555
-1479.3739,0.97057404,0.10072149,5,63,0,1479.9141,17.792061,0.69262211,17.674667
-1478.8232,1,0.10072149,4,15,0,1479.3813,18.924304,0.67451176,17.832849
-1478.2507,0.98558813,0.10072149,5,31,0,1479.3555,27.059624,0.60312578,17.879423
-1478.7722,0.73836889,0.10072149,4,19,0,1481.1526,25.213541,0.60424144,18.146178
-1478.5853,0.85764788,0.10072149,4,27,0,1480.4585,22.282363,0.64881644,17.678816
-1477.8853,0.99929171,0.10072149,4,31,0,1479.442,26.184576,0.60649625,18.138012
-1478.0078,0.83149682,0.10072149,4,19,0,1479.0231,26.170687,0.60206177,18.277074
-1478.1471,0.90371997,0.10072149,4,23,0,1479.1961,25.333277,0.61753635,18.610849
-1478.8574,0.98990385,0.10072149,5,31,0,1479.2338,17.596213,0.69146314,18.304262
-1478.6276,0.97906449,0.10072149,4,15,0,1479.0643,19.744372,0.67434138,18.425756
-1478.4216,1,0.10072149,5,31,0,1479.2707,24.788477,0.62206175,18.839405
-1479.055,0.83943218,0.10072149,4,15,0,1480.0755,21.883936,0.65226192,19.054174
-1478.5237,0.9999885,0.10072149,4,15,0,1479.3013,23.728754,0.63307279,18.863936
