# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = kidscore_momiq_model
# start_datetime = 2026-08-20 13:55:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /home/m0hawk/Documents/apin/stan/data/kidscore_momiq.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/kidscore_momiq/rep2/chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/kidscore_momiq__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.117574
# Diagonal elements of inverse mass matrix:
# 32.9332, 0.00320527, 0.00127211
-1479.4343,0.97536573,0.1175735,5,31,0,1483.3424,24.58956,0.62019539,19.336568
-1479.4227,0.98484098,0.1175735,1,3,0,1479.5755,24.516211,0.6185967,19.300667
-1479.7843,0.88527654,0.1175735,5,31,0,1480.5929,23.807778,0.6377122,19.308055
-1481.6022,0.99556192,0.1175735,4,31,0,1484.0312,23.994661,0.61969553,19.921768
-1480.3885,0.98372234,0.1175735,4,15,0,1482.4612,27.399637,0.60403037,19.486888
-1480.1071,0.83922734,0.1175735,2,3,0,1482.1142,25.81423,0.59871672,19.325886
-1478.5676,0.99025608,0.1175735,4,23,0,1483.5012,21.873891,0.64016363,18.111804
-1478.6781,0.9992603,0.1175735,5,39,0,1479.0628,31.022753,0.56633392,18.063167
-1479.7687,0.86344691,0.1175735,3,15,0,1480.4098,31.20638,0.54222978,18.294242
-1478.6881,0.82649472,0.1175735,4,27,0,1481.4387,26.937011,0.60950046,18.400664
-1478.0007,0.86868232,0.1175735,3,15,0,1480.2286,27.470055,0.59708857,18.264507
-1478.1177,0.97427175,0.1175735,4,27,0,1478.4215,23.355286,0.63142572,18.508695
-1478.1515,0.8034227,0.1175735,3,15,0,1479.8763,24.735401,0.62619223,18.057173
-1482.4151,0.89093937,0.1175735,5,31,0,1482.981,41.433639,0.46811108,17.951824
-1479.6721,0.93016433,0.1175735,3,15,0,1484.4965,36.483387,0.50974548,18.453652
-1482.7351,0.65199014,0.1175735,5,31,0,1484.8763,19.910579,0.6908884,17.634476
-1480.2703,0.99972246,0.1175735,5,31,0,1483.0177,31.721132,0.5359696,18.661763
-1478.5039,0.96197636,0.1175735,4,27,0,1482.3751,27.093072,0.59154092,18.765397
-1478.7329,0.98026315,0.1175735,2,7,0,1478.8647,26.949284,0.59086274,18.805176
-1478.8791,0.99035623,0.1175735,4,31,0,1479.0425,27.130338,0.60528293,18.868907
-1479.9011,0.99931696,0.1175735,5,31,0,1481.345,30.318138,0.56992004,19.390661
-1477.9951,0.96429649,0.1175735,4,31,0,1483.6067,25.351496,0.61253188,18.474304
-1478.908,0.87209862,0.1175735,5,31,0,1479.8124,31.514618,0.56130507,17.841123
-1477.9496,0.95823679,0.1175735,5,31,0,1480.3816,26.986304,0.59654523,18.358404
-1478.2765,0.99980209,0.1175735,4,23,0,1478.4697,30.538648,0.56273385,17.986105
-1478.7402,0.93716203,0.1175735,5,31,0,1479.1438,32.551779,0.54746432,18.549311
-1479.7031,0.97946814,0.1175735,5,31,0,1480.7846,18.432099,0.68260976,17.377945
-1480.5886,0.78946001,0.1175735,5,31,0,1481.4791,17.368317,0.70536781,17.644583
-1482.7146,0.99766182,0.1175735,5,31,0,1484.3712,42.560703,0.44159932,19.14349
-1483.4214,0.87296121,0.1175735,2,3,0,1483.852,42.537686,0.43479063,19.165708
-1481.4308,0.87942714,0.1175735,4,23,0,1487.2048,32.377621,0.52812285,17.515656
-1480.639,0.98165949,0.1175735,5,31,0,1483.2078,36.652395,0.50676489,19.198118
-1480.8165,0.96437465,0.1175735,4,15,0,1481.2774,37.346003,0.49977862,19.190281
-1478.8016,0.65662311,0.1175735,4,19,0,1483.9789,30.737101,0.57001064,17.949449
-1480.4055,0.80172688,0.1175735,2,7,0,1480.8807,30.972358,0.57683923,18.00825
-1478.2632,0.83910728,0.1175735,2,3,0,1481.8248,30.005899,0.57017951,17.91645
-1479.3313,0.76369552,0.1175735,5,31,0,1480.0986,25.897908,0.59557701,18.699604
-1480.403,0.91936173,0.1175735,4,27,0,1482.2282,20.233027,0.6477939,18.739775
-1478.6563,0.96806485,0.1175735,4,27,0,1480.7718,24.782559,0.62826185,18.712833
-1478.9084,0.78287757,0.1175735,3,15,0,1481.1553,23.323152,0.62243589,18.369335
-1478.3747,0.81245206,0.1175735,3,15,0,1482.1579,25.556159,0.60920382,17.648553
-1478.3311,0.90187602,0.1175735,4,31,0,1479.0827,24.264532,0.6252975,17.654023
-1478.587,0.88510899,0.1175735,5,31,0,1479.1204,29.416879,0.58104805,18.663576
-1479.0197,0.9994774,0.1175735,5,31,0,1479.5767,25.495467,0.60824182,19.11608
-1478.4885,0.93351335,0.1175735,3,15,0,1480.4643,25.211977,0.60769373,18.594184
-1478.4981,0.9966764,0.1175735,5,31,0,1478.8768,30.36775,0.56978723,17.850908
-1478.1032,0.99335383,0.1175735,4,15,0,1478.5598,29.761987,0.57148766,18.197517
-1479.5132,0.87866041,0.1175735,5,31,0,1479.9822,27.889811,0.5984237,17.370295
-1479.3343,0.90478656,0.1175735,4,27,0,1480.8846,29.282227,0.587512,17.718844
-1478.9622,1,0.1175735,2,7,0,1479.3323,28.248819,0.57529395,17.82789
-1478.8206,1,0.1175735,2,3,0,1479.1216,28.440767,0.57452496,17.826858
-1479.0221,0.92043296,0.1175735,5,35,0,1481.0872,16.932907,0.69825445,18.215916
-1479.9713,0.99865454,0.1175735,5,39,0,1480.7607,37.653503,0.49173914,18.098179
-1479.7949,0.99961274,0.1175735,4,15,0,1480.4933,35.954114,0.50849618,17.720571
-1479.9429,0.84963014,0.1175735,2,7,0,1481.0512,35.593911,0.52199013,17.819399
-1480.4605,0.95735259,0.1175735,2,3,0,1480.6445,35.907431,0.52191617,17.793844
-1480.2635,0.75563177,0.1175735,5,35,0,1483.8636,15.909962,0.70388716,19.144075
-1480.3235,0.80222537,0.1175735,2,3,0,1481.7363,16.106719,0.7118735,19.068396
-1479.4536,0.82502706,0.1175735,5,33,0,1481.7147,27.784217,0.58012923,17.485207
-1479.4329,0.99218585,0.1175735,5,31,0,1479.9724,29.457648,0.56236397,18.839427
-1479.1834,0.82545845,0.1175735,2,3,0,1481.4893,28.918684,0.57002246,18.915369
-1478.2453,0.99531264,0.1175735,5,31,0,1479.5616,24.336121,0.62023463,18.634261
-1478.7087,0.99882048,0.1175735,4,31,0,1480.1951,30.11808,0.56876636,17.582524
-1478.8364,0.86460329,0.1175735,5,31,0,1479.7627,30.884309,0.5517667,18.53098
-1478.5121,0.97029007,0.1175735,4,31,0,1480.9836,29.974319,0.56805097,18.764195
-1479.0836,0.9098148,0.1175735,5,47,0,1480.4427,22.560696,0.63617082,19.057036
-1478.7349,0.99919501,0.1175735,2,7,0,1479.2404,23.63477,0.63676197,18.901324
-1479.5021,0.96747618,0.1175735,5,31,0,1479.8809,19.560276,0.67978577,17.617879
-1478.3066,0.99930958,0.1175735,5,31,0,1479.9914,25.611065,0.60757985,17.734242
-1478.7598,0.88081448,0.1175735,4,19,0,1479.3662,23.091597,0.64689442,18.436675
-1479.6468,0.9241748,0.1175735,5,31,0,1480.8541,27.647031,0.58078687,19.100011
-1478.9944,0.99763626,0.1175735,5,31,0,1480.5,34.317314,0.52327365,18.2377
-1479.9021,0.95030406,0.1175735,3,13,0,1480.2703,36.699702,0.50971381,18.080004
-1478.0758,0.92324396,0.1175735,5,31,0,1481.5763,22.274407,0.64373896,18.098516
-1480.0162,0.98325294,0.1175735,5,31,0,1480.2078,37.724286,0.4893899,18.271439
-1480.0041,0.96840294,0.1175735,2,3,0,1480.2421,37.651254,0.48987007,18.316275
-1481.4906,0.71774471,0.1175735,2,7,0,1482.0657,38.773456,0.49657957,18.293973
-1478.9714,0.99551295,0.1175735,5,35,0,1481.7847,20.704193,0.64992734,18.479855
-1479.1788,0.99874437,0.1175735,5,31,0,1479.8274,24.649903,0.61130402,17.561974
-1478.4606,0.99988852,0.1175735,5,31,0,1480.2021,21.99119,0.63976191,18.179608
-1478.0463,0.65661174,0.1175735,2,3,0,1481.4335,23.038201,0.6369052,17.996966
-1477.92,0.99447971,0.1175735,4,31,0,1478.213,27.019324,0.59675065,18.295056
-1478.6143,0.81325756,0.1175735,2,3,0,1478.8356,27.695394,0.60149993,18.316395
-1478.3172,0.92921893,0.1175735,3,13,0,1480.0589,29.772555,0.5719436,17.82146
-1478.5964,0.99985796,0.1175735,4,15,0,1478.6803,31.138176,0.55821307,17.746068
-1478.5941,0.98739236,0.1175735,2,3,0,1478.6879,30.960185,0.55944955,17.725856
-1478.1716,0.86287448,0.1175735,5,31,0,1480.2504,21.483481,0.65362882,18.316382
-1478.0278,0.98075326,0.1175735,5,31,0,1478.7233,28.275547,0.5827403,18.173456
-1478.028,0.99587699,0.1175735,5,63,0,1478.4626,25.400658,0.61730127,18.441262
-1477.9193,0.84018508,0.1175735,3,15,0,1479.1898,24.530926,0.62306816,18.316362
-1478.6168,0.99784959,0.1175735,5,31,0,1479.0522,32.130432,0.54656011,18.571739
-1478.3986,0.97458871,0.1175735,5,31,0,1478.8848,30.865933,0.56432058,18.026703
-1479.7684,0.99821411,0.1175735,4,19,0,1479.9382,32.950974,0.53503549,17.404326
-1479.2968,0.99551081,0.1175735,4,15,0,1479.9644,31.534993,0.54982457,17.456661
-1478.9757,0.97506647,0.1175735,4,15,0,1479.6221,29.916744,0.56704852,17.458247
-1478.9333,0.94199577,0.1175735,3,7,0,1479.3983,30.22411,0.5614898,17.570187
-1478.8941,0.99686864,0.1175735,5,31,0,1479.27,20.609395,0.66181969,18.931941
-1478.2815,0.93607908,0.1175735,4,15,0,1479.4947,23.121885,0.64000554,18.612827
