# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:56:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep2/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.344553
# Diagonal elements of inverse mass matrix:
# 0.0176997, 0.128267, 0.295125, 1.62284
-267.64306,0.90460333,0.34455286,3,11,0,268.43323,4.9190882,1.1475321,0.46268583,0.43239887
-267.84531,0.86816838,0.34455286,3,15,0,270.01861,5.0721144,0.75498975,0.54751021,0.3892611
-269.49128,0.63344566,0.34455286,2,7,0,274.62177,5.0318284,0.71217446,0.43944064,0.53418023
-267.45484,0.938853,0.34455286,3,11,0,270.65698,5.084414,2.0584738,0.5458836,0.23592945
-269.02797,0.99855635,0.34455286,3,7,0,269.50393,5.1217988,1.6856473,0.7697629,0.20316473
-268.05866,0.98978139,0.34455286,3,11,0,270.00034,5.003997,1.0651435,0.63694252,0.33218212
-269.13794,0.89012277,0.34455286,2,7,0,269.75981,5.0466504,1.213535,0.52188484,0.43880589
-267.77241,0.98898367,0.34455286,2,3,0,269.34369,5.0303569,1.0807117,0.57265299,0.38586007
-267.12201,0.99918645,0.34455286,4,15,0,269.09353,5.0630328,1.1917823,0.42353809,0.41794834
-268.68994,0.56874579,0.34455286,2,3,0,270.14146,5.1006277,1.196206,0.34038063,0.49408883
-267.43314,1,0.34455286,3,15,0,270.68862,5.1482583,1.69469,0.62406431,0.17552466
-269.01923,0.79970227,0.34455286,4,15,0,271.04902,5.0495358,1.0629979,0.66420788,0.32481032
-268.50619,0.95256167,0.34455286,2,7,0,272.9978,4.9890289,0.68790628,0.52927165,0.39572038
-268.43844,0.88395116,0.34455286,4,15,0,270.63906,5.0633815,2.0631458,0.42057813,0.19461422
-270.49465,0.72892227,0.34455286,3,7,0,271.43281,4.8942965,1.7931399,0.73878544,0.10277132
-268.93331,0.95088958,0.34455286,3,15,0,272.11914,5.1588425,1.8476886,0.81199045,0.12201454
-268.19008,0.98456967,0.34455286,3,7,0,269.3832,5.0753334,1.7988389,0.76978562,0.15454312
-269.86467,0.93697052,0.34455286,4,15,0,270.83575,4.9680685,0.64599239,0.39989852,0.45121137
-269.24807,0.078208341,0.34455286,2,3,0,276.97878,5.1105534,1.1568425,0.60466453,0.3798982
-268.01082,0.95882038,0.34455286,3,15,0,273.37557,5.1531882,1.124971,0.66098815,0.2978606
-266.95288,0.90376313,0.34455286,3,7,0,269.74131,4.9991983,1.7928127,0.55539222,0.24515308
-267.32812,0.94148101,0.34455286,2,7,0,268.15951,5.1739018,1.4038861,0.55203709,0.26587451
-267.18283,0.99512255,0.34455286,4,15,0,268.61711,4.9308829,1.3669059,0.55247095,0.29050352
-270.08898,0.72579593,0.34455286,3,7,0,273.21911,4.8500488,1.9538498,0.72347996,0.12489318
-269.53529,0.92176668,0.34455286,3,7,0,272.02676,5.1479071,0.88883232,0.4359702,0.3613106
-269.53529,0.29611312,0.34455286,2,3,0,271.86189,5.1479071,0.88883232,0.4359702,0.3613106
-269.3294,1,0.34455286,3,7,0,269.78526,4.9572145,0.95605516,0.65540517,0.33046885
-266.85431,0.93185898,0.34455286,3,7,0,271.10092,5.001659,1.5007039,0.52678257,0.32095614
