# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = wells_dist100_model_model
# start_datetime = 2026-08-20 13:53:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/wells_dist100_model.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/wells_dist100_model/rep0/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/wells_dist100_model__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1
# Adaptation terminated
# Step size = 0.444581
# Diagonal elements of inverse mass matrix:
# 0.00333732, 0.00794455
-2038.3555,0.98701704,0.44458136,2,3,0,2038.4847,0.62782932,-0.6848568
-2040.1905,0.82243441,0.44458136,4,15,0,2041.2086,0.58758767,-0.47834915
-2039.7654,1,0.44458136,2,3,0,2040.4027,0.51782221,-0.57355936
-2039.1314,1,0.44458136,2,7,0,2040.2388,0.64803337,-0.60113815
-2039.3627,0.99979024,0.44458136,4,15,0,2039.5361,0.63440509,-0.7486555
-2039.0898,0.97646726,0.44458136,1,3,0,2040.5879,0.6812383,-0.75568493
-2039.1122,0.95970721,0.44458136,2,3,0,2039.5832,0.69116308,-0.73394241
-2038.8222,0.97902745,0.44458136,2,3,0,2039.3253,0.66663519,-0.7372992
-2038.1343,0.95112092,0.44458136,2,5,0,2039.3651,0.61377453,-0.63891424
-2038.4933,0.96961183,0.44458136,2,7,0,2038.6686,0.62657624,-0.6958874
-2038.1413,0.99984659,0.44458136,2,7,0,2038.6785,0.61473604,-0.62384974
-2038.1393,0.99988122,0.44458136,2,3,0,2038.1486,0.60918971,-0.63767614
-2038.1393,0.79637494,0.44458136,2,3,0,2039.896,0.60918971,-0.63767614
-2038.9569,0.88479081,0.44458136,3,15,0,2040.0492,0.56230926,-0.63045434
-2039.6377,0.98632325,0.44458136,3,7,0,2041.1429,0.70854353,-0.72830871
-2039.213,1,0.44458136,2,3,0,2039.6484,0.6779428,-0.76665076
