# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = wells_dist100_model_model
# start_datetime = 2026-08-20 13:53:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/wells_dist100_model.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/wells_dist100_model/rep0/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/wells_dist100_model__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1
# Adaptation terminated
# Step size = 0.459898
# Diagonal elements of inverse mass matrix:
# 0.00361248, 0.0088797
-2038.2059,1,0.45989829,2,3,0,2038.2736,0.62833076,-0.66187908
-2038.2712,0.86537848,0.45989829,2,7,0,2039.4621,0.57404914,-0.57200709
-2038.247,0.99328348,0.45989829,4,15,0,2038.4309,0.63562754,-0.6524187
-2038.1262,0.9987783,0.45989829,2,7,0,2038.4627,0.598979,-0.61495817
-2038.2063,0.97767077,0.45989829,3,15,0,2038.3993,0.63110679,-0.65610122
-2039.2965,0.93137585,0.45989829,2,5,0,2039.9685,0.69860492,-0.73373235
-2038.9818,1,0.45989829,2,3,0,2039.2974,0.67206609,-0.7500662
-2038.4045,0.98983107,0.45989829,2,5,0,2039.9406,0.64385482,-0.6955098
-2038.4396,0.9834291,0.45989829,2,3,0,2038.5092,0.65204725,-0.6660418
-2038.6521,0.99137511,0.45989829,2,3,0,2038.7244,0.66474025,-0.67601347
-2039.4697,0.95147016,0.45989829,3,7,0,2039.7014,0.58078001,-0.4949258
-2041.6317,0.78390329,0.45989829,2,7,0,2042.3002,0.53820689,-0.67920359
-2038.3784,1,0.45989829,2,7,0,2041.738,0.64607919,-0.65630336
-2038.3264,1,0.45989829,2,3,0,2038.3923,0.62852504,-0.68212981
-2038.3427,0.96912403,0.45989829,3,7,0,2038.925,0.63538104,-0.68690774
-2038.1802,0.91996151,0.45989829,2,3,0,2038.8965,0.6265664,-0.64354572
