# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = blr_model
# start_datetime = 2026-08-20 13:54:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/blr.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/blr/rep1/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/blr__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
# Adaptation terminated
# Step size = 0.110291
# Diagonal elements of inverse mass matrix:
# 1.09007e-05, 1.09403e-05, 1.12284e-05, 1.09856e-05, 1.08877e-05, 0.00643397
-165.82441,0.96120597,0.11029089,3,11,0,168.4346,0.9974898,0.99668665,0.99582921,0.99691619,0.99714098,1.1450473
-169.21786,0.66493484,0.11029089,3,7,0,174.32695,0.99679153,0.99649707,0.9960055,0.99606351,0.99537016,1.1970272
-165.43417,0.97910872,0.11029089,4,31,0,170.81859,1.0018459,1.0003465,0.99921744,1.0005492,1.0003577,0.99171001
-163.49611,1,0.11029089,3,7,0,166.00438,1.0013674,1.0001678,0.99941473,1.0002081,1.0001324,0.99090703
-168.5707,0.72393683,0.11029089,4,15,0,169.80416,0.997001,0.99707646,0.99644958,0.99590971,0.99633848,0.98336007
-163.86721,0.99401972,0.11029089,5,31,0,170.40633,0.99878725,0.99801686,0.99754169,0.99880367,0.99800974,1.1321573
-165.00444,0.84937358,0.11029089,4,23,0,168.75305,0.99863296,0.99879913,0.99861158,0.9991706,0.99829352,0.99570668
-164.99058,0.99029882,0.11029089,3,7,0,166.5589,0.99973287,0.99765522,0.9966721,0.99810385,0.99785818,0.99276189
-162.07008,0.89429458,0.11029089,3,11,0,168.07158,0.99934371,0.99841138,0.99835863,0.99872478,0.99871225,1.0112892
-166.84467,0.7450436,0.11029089,3,15,0,171.62739,0.99925111,0.99817903,0.99947212,0.99857004,0.99838294,0.95754819
