# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = blr_model
# start_datetime = 2026-08-20 13:54:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/blr.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/blr/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/blr__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
# Adaptation terminated
# Step size = 0.112688
# Diagonal elements of inverse mass matrix:
# 1.09072e-05, 1.09846e-05, 1.10932e-05, 1.1045e-05, 1.09143e-05, 0.00603129
-163.74677,0.91914242,0.11268826,4,31,0,166.68996,1.0010646,0.99981208,0.99949184,0.99934975,0.99963307,1.0738774
-166.84606,0.79590729,0.11268826,3,7,0,168.45674,1.0004312,0.99809964,0.99917508,1.0001521,0.99929302,1.0669602
-166.24561,0.97655048,0.11268826,4,19,0,170.23856,0.99975011,0.9983789,0.99850672,0.999936,0.99876835,1.1907241
-163.42775,0.87696899,0.11268826,5,31,0,170.16823,0.99928546,0.99771575,0.99835516,0.99811963,0.99848755,1.0381092
-162.72433,0.97941153,0.11268826,3,11,0,164.72068,0.99995993,0.9987951,0.99750745,0.99891615,0.99845675,1.0292945
-163.26516,0.81099169,0.11268826,3,11,0,167.11301,0.99995579,0.99906138,0.9984642,0.99939811,0.99813354,1.0349449
-163.65306,0.59250977,0.11268826,3,15,0,170.39992,0.99986841,0.99860801,0.99815402,0.99802898,0.9981011,0.98190516
-163.22101,0.99116396,0.11268826,2,7,0,164.60447,0.99981317,0.99886944,0.99770617,0.99817346,0.99823791,0.98518235
-161.99735,0.9981621,0.11268826,3,15,0,163.85405,0.9995726,0.99894975,0.99849973,0.9986793,0.99876175,1.0304055
-162.29445,0.90120511,0.11268826,3,7,0,163.35481,0.99958302,0.99850936,0.99813875,0.99886809,0.99903585,1.0275965
