# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = logmesquite_logvash_model
# start_datetime = 2026-08-20 13:53:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/logmesquite_logvash.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/logmesquite_logvash/rep0/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/logmesquite_logvash__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma
# Adaptation terminated
# Step size = 0.0794519
# Diagonal elements of inverse mass matrix:
# 0.0233793, 0.0612431, 0.0666124, 0.0482865, 0.0924631, 0.0136066, 0.01305
26.332879,0.85385969,0.079451896,5,63,0,-22.857969,5.3154182,0.65359574,0.061457403,-0.23708396,0.48887606,-0.38880045,0.34701548
25.59673,0.92018623,0.079451896,6,71,0,-22.728551,5.1707521,0.3974973,0.51693002,-0.14788601,0.27454228,-0.34942085,0.36808526
26.855037,0.99128687,0.079451896,5,63,0,-19.802951,5.5649549,0.47424169,0.16436844,-0.67147002,0.60734431,-0.69003985,0.32991078
25.929269,0.99110678,0.079451896,5,31,0,-20.996742,5.5820843,0.53544334,0.16789851,-0.66580525,0.63830632,-0.75511606,0.31221991
27.21425,0.91800186,0.079451896,5,31,0,-23.910518,5.5257792,0.47763555,0.33327986,-0.68553761,0.31620499,-0.56463839,0.32133678
28.849631,0.99987745,0.079451896,6,63,0,-25.273872,5.2890824,0.41795453,0.37454197,-0.30202587,0.56716993,-0.59666026,0.35939042
27.656953,0.92430135,0.079451896,6,63,0,-23.967645,5.4971178,0.46508756,0.33084063,-0.68146055,0.13621398,-0.50078463,0.32361081
29.116145,0.97026033,0.079451896,5,31,0,-26.500374,5.4129208,0.41850927,0.31836486,-0.36733953,0.30702564,-0.51113155,0.32560848
27.847663,0.77585394,0.079451896,5,47,0,-24.723827,5.3335572,0.3358317,0.40994776,-0.37613245,0.30042643,-0.45768337,0.30524285
