# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = logmesquite_logvash_model
# start_datetime = 2026-08-20 13:53:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/logmesquite_logvash.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/logmesquite_logvash/rep0/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/logmesquite_logvash__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma
# Adaptation terminated
# Step size = 0.0912862
# Diagonal elements of inverse mass matrix:
# 0.0250823, 0.0853977, 0.0898507, 0.0452962, 0.119806, 0.0141321, 0.0119103
27.220562,0.93171382,0.091286194,5,31,0,-24.012134,5.4296213,0.66072891,0.0044414449,-0.4743956,0.32448993,-0.38789941,0.33215338
26.754764,0.9995414,0.091286194,5,31,0,-24.885671,5.4934856,0.6946365,-0.00057256766,-0.50568609,0.25191164,-0.41411975,0.37579691
25.128774,0.94923673,0.091286194,5,31,0,-22.14351,5.2396321,0.73472933,0.16316033,-0.026792292,-0.052137684,-0.61338488,0.27392969
28.23813,0.99977042,0.091286194,5,63,0,-21.018115,5.1018327,0.15008854,0.67910087,-0.084731715,0.75552537,-0.50526286,0.29087174
23.673153,0.45626011,0.091286194,6,63,0,-20.382369,5.5792734,0.70349857,0.034568371,-0.60553706,-0.096696891,-0.62767201,0.40954049
22.393967,0.98885938,0.091286194,4,31,0,-19.556586,5.7234832,0.71152131,-0.018734424,-0.5528273,-0.059707916,-0.74840722,0.4057055
21.907848,0.99612256,0.091286194,5,31,0,-18.856353,5.6728748,1.1139808,-0.54655259,-0.69709371,0.22680257,-0.6878114,0.36491688
15.139371,0.99665329,0.091286194,4,15,0,-12.640594,5.937336,1.059653,-0.62527503,-0.5552069,0.2065101,-0.74135421,0.377436
12.970262,0.99824,0.091286194,6,127,0,-6.7970086,4.9113589,-0.65698764,1.1282676,0.074715492,1.5431314,0.10239675,0.46987167
15.52667,0.97640436,0.091286194,6,63,0,-9.0623968,4.9195309,-0.71922561,1.5864184,0.29413915,1.2460612,-0.68298568,0.37731878
17.616432,0.99872052,0.091286194,4,15,0,-13.807375,4.888896,-0.64590657,1.4825932,0.25406502,1.4524911,-0.68553676,0.38741345
25.257615,0.99561815,0.091286194,5,31,0,-16.128552,5.0480752,-0.1233553,0.89048672,-0.28893555,1.0837225,-0.43471115,0.41016144
24.412126,0.99402136,0.091286194,5,63,0,-22.274423,5.179194,-0.10725039,1.0614224,-0.10577965,0.53203426,-0.69344608,0.37266011
26.964486,0.99961573,0.091286194,5,31,0,-23.189111,5.1821415,0.20199628,0.47370758,-0.13586047,0.95233524,-0.50937223,0.37120496
26.995942,0.96981588,0.091286194,5,47,0,-23.763027,5.0497983,0.19585285,0.67592583,-0.15649474,0.65507541,-0.54469979,0.37801733
26.462325,0.8910025,0.091286194,5,31,0,-22.429276,5.1075905,0.13305904,0.76782449,-0.0015753539,0.69164663,-0.60256231,0.36803681
25.278652,0.87808611,0.091286194,5,31,0,-19.66504,5.1497003,0.44279897,0.51546545,0.014168424,0.10821389,-0.38508288,0.31921385
28.317997,0.97539583,0.091286194,5,63,0,-24.718013,5.2854255,0.55359999,0.17553615,-0.20315847,0.41614119,-0.53801722,0.35062894
26.160127,0.94890016,0.091286194,5,31,0,-23.575733,5.4678755,0.71652462,-0.033963293,-0.37714049,0.4217708,-0.66694169,0.39934449
27.335161,0.97019961,0.091286194,5,31,0,-23.811961,5.4820521,0.91883332,-0.098242369,-0.42043669,-0.17882791,-0.53148433,0.35481968
28.103592,0.9549593,0.091286194,6,63,0,-23.99355,5.4479782,0.25211161,0.46330576,-0.39861101,0.46284737,-0.55123104,0.33041343
27.348228,0.99383344,0.091286194,4,15,0,-26.796203,5.2717905,0.33765544,0.45095034,-0.51422706,0.47548687,-0.48322079,0.36978848
28.223555,0.9575758,0.091286194,5,63,0,-25.839431,5.5276022,0.49017103,0.18968778,-0.47437867,0.4717322,-0.57327042,0.31180072
26.650437,0.96698516,0.091286194,6,63,0,-24.612833,5.1300635,0.13383006,0.65347423,0.052305763,0.74000943,-0.57505556,0.37707995
